Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI
BATCH_0033,44.45,14.41,2.71,2.16,1.19,0.35,35.94
BATCH_0034,44.89,14.61,3.68,2.0,1.2,0.39,34.81
BATCH_0035,41.85,13.64,2.86,2.07,1.4,0.27,35.98
BATCH_0036,43.38,13.71,3.03,1.99,1.39,0.35,36.0
BATCH_0037,42.87,13.76,3.35,1.95,1.38,0.4,35.79
BATCH_0038,42.23,14.17,3.38,2.04,1.47,0.27,35.29
BATCH_0039,44.07,13.78,3.1,2.37,1.83,0.47,35.09
BATCH_0040,41.54,13.03,3.01,2.11,1.5,0.33,35.83
BATCH_0041,43.75,12.89,3.2,1.97,1.06,0.5,35.97
BATCH_0042,42.55,13.65,3.18,2.22,1.44,0.27,35.68
BATCH_0043,43.6,13.67,3.54,2.08,1.31,0.49,36.33
BATCH_0044,43.27,14.44,3.04,2.38,1.86,0.36,35.73
BATCH_0045,42.24,14.21,3.15,1.93,1.86,0.33,35.27
BATCH_0046,42.45,14.08,3.03,2.23,1.44,0.25,36.02
BATCH_0047,42.44,13.8,3.41,1.89,0.7,0.31,35.95
BATCH_0048,44.16,14.5,3.61,2.23,1.37,0.41,36.17
BATCH_0049,43.44,13.56,3.36,2.11,1.64,0.26,36.06
BATCH_0050,44.61,13.76,3.03,2.48,1.11,0.18,34.55
BATCH_0051,44.01,13.68,2.99,1.97,1.41,0.38,35.3
BATCH_0052,43.38,14.23,3.17,2.39,1.26,0.58,34.57
BATCH_0053,43.53,14.09,3.19,1.99,1.35,0.36,35.89
BATCH_0054,42.69,14.14,3.62,2.28,1.41,0.34,35.88
BATCH_0055,42.27,13.48,3.39,2.33,1.99,0.39,34.66
BATCH_0056,43.4,14.43,3.71,2.01,1.62,0.4,35.24
BATCH_0057,43.49,13.63,2.7,2.09,1.37,0.51,36.44
BATCH_0058,43.27,13.03,3.5,2.0,1.09,0.36,34.65
BATCH_0059,43.24,13.39,3.16,1.89,1.36,0.44,35.04
BATCH_0060,42.64,14.95,3.14,2.14,1.57,0.45,35.85
BATCH_0061,44.1,13.65,3.3,2.39,1.51,0.44,34.71
BATCH_0062,42.31,12.51,3.01,1.84,1.73,0.5,35.89
BATCH_0063,42.97,14.04,3.14,2.21,1.39,0.3,36.13
BATCH_0064,43.29,13.0,3.02,2.16,1.08,0.44,35.86
BATCH_0065,44.23,13.62,3.12,2.25,1.55,0.33,35.72
BATCH_0066,43.24,13.71,3.49,2.54,1.29,0.26,34.69
BATCH_0067,42.67,13.68,2.97,2.11,1.28,0.47,34.95
BATCH_0068,43.68,13.25,3.25,1.82,1.38,0.31,36.42
BATCH_0069,43.65,14.15,2.88,1.92,1.26,0.38,34.76
BATCH_0070,43.27,13.74,3.48,2.04,1.45,0.43,36.36
BATCH_0071,42.61,14.12,2.44,2.11,1.33,0.3,35.71
BATCH_0072,43.01,14.69,3.24,2.03,1.28,0.37,34.62
BATCH_0073,44.29,13.61,3.46,2.25,1.39,0.38,35.24
BATCH_0074,43.04,14.83,2.79,1.78,1.69,0.38,35.15
BATCH_0075,42.13,13.84,3.23,2.44,1.35,0.41,34.63
BATCH_0076,44.1,13.35,2.77,2.4,1.34,0.37,36.03
BATCH_0077,43.7,13.67,3.02,1.84,1.05,0.21,34.76
BATCH_0078,43.64,14.24,3.4,2.33,1.44,0.27,35.42
BATCH_0079,43.5,14.34,3.01,2.2,1.35,0.4,35.88
BATCH_0080,42.49,14.19,3.16,2.18,1.22,0.36,34.51
BATCH_0081,43.31,13.39,3.76,2.48,1.73,0.5,35.78
BATCH_0082,43.13,13.73,3.65,2.23,1.2,0.59,35.37
BATCH_0083,44.13,13.68,3.09,2.18,1.36,0.54,35.1
BATCH_0084,43.11,13.68,2.94,1.93,1.35,0.44,35.81
BATCH_0085,43.1,13.44,3.47,1.92,1.18,0.46,36.37
BATCH_0086,43.59,14.22,3.25,2.03,1.23,0.41,34.73
BATCH_0087,42.63,14.16,2.99,2.0,1.63,0.32,34.6
BATCH_0088,42.82,14.49,3.23,1.81,1.58,0.33,35.81
BATCH_0089,43.47,14.26,3.14,1.87,1.25,0.42,34.87
BATCH_0090,43.72,14.0,3.26,2.03,1.47,0.37,35.55
BATCH_0091,42.69,13.55,3.0,1.69,1.55,0.53,35.92
BATCH_0092,43.98,12.99,3.24,2.49,1.2,0.33,36.17
BATCH_0093,43.33,14.46,3.28,2.09,1.36,0.31,35.42
BATCH_0094,43.0,13.59,3.19,2.04,1.56,0.24,35.58
BATCH_0095,43.79,15.41,2.66,1.96,1.69,0.36,36.26
BATCH_0096,43.31,14.13,3.21,2.44,1.28,0.42,35.8
BATCH_0097,44.18,13.45,3.34,2.65,1.48,0.38,34.51
BATCH_0098,43.44,14.11,2.73,2.28,1.3,0.41,35.32
BATCH_0099,44.3,14.49,3.55,1.75,1.44,0.48,36.38
BATCH_0100,42.62,14.87,2.84,2.28,1.6,0.33,36.19
BATCH_0101,42.97,13.07,2.91,2.01,1.41,0.38,35.25
BATCH_0102,43.69,13.8,3.07,2.08,1.38,0.36,34.56
BATCH_0103,43.36,13.09,3.67,2.15,1.36,0.52,35.58
BATCH_0104,44.19,14.98,2.83,2.2,1.31,0.39,35.3
BATCH_0105,43.09,13.1,3.2,2.18,1.45,0.5,36.39
BATCH_0106,43.02,13.71,3.14,2.33,1.52,0.11,36.41
BATCH_0107,42.72,14.31,3.35,2.24,1.48,0.34,34.92
BATCH_0108,41.5,13.93,3.2,1.94,1.53,0.49,34.72
BATCH_0109,42.43,14.0,3.2,2.3,1.84,0.27,35.22
BATCH_0110,42.57,13.55,3.04,2.13,1.24,0.51,35.49
BATCH_0111,43.06,14.37,3.13,2.25,1.39,0.6,36.08
BATCH_0112,43.2,14.16,2.77,1.64,1.29,0.28,35.22
BATCH_0113,42.53,13.55,3.58,2.26,1.62,0.26,35.72
BATCH_0114,45.37,14.27,3.19,2.05,1.4,0.45,35.31
BATCH_0115,44.09,12.99,3.4,2.24,0.95,0.31,35.2
BATCH_0116,42.86,13.61,3.58,2.21,1.18,0.42,34.95
BATCH_0117,42.22,13.71,3.21,2.22,1.4,0.24,34.79
BATCH_0118,41.76,14.08,3.81,1.83,1.44,0.33,34.98
BATCH_0119,43.76,13.68,3.39,1.85,1.26,0.29,35.5
BATCH_0120,41.52,14.4,2.99,2.26,1.01,0.49,36.01
BATCH_0121,43.9,13.63,3.62,2.02,1.33,0.05,35.06
BATCH_0122,43.81,14.52,2.67,2.16,1.3,0.39,35.89
BATCH_0123,43.98,14.15,3.06,1.87,1.69,0.23,35.15
BATCH_0124,45.0,15.67,3.38,2.06,1.51,0.49,34.71
BATCH_0125,43.77,13.85,2.48,2.09,1.49,0.35,35.95
BATCH_0126,41.26,14.46,3.06,1.93,1.54,0.36,36.1
BATCH_0127,44.3,13.28,2.99,2.07,1.26,0.49,35.74
BATCH_0128,42.33,13.23,3.3,2.09,1.41,0.32,34.7
BATCH_0129,43.28,14.04,3.17,2.14,1.44,0.32,35.81
BATCH_0130,42.99,13.77,2.74,2.2,1.51,0.39,35.86
BATCH_0131,43.21,13.75,3.67,2.36,1.56,0.3,35.95
BATCH_0132,43.98,14.33,2.97,2.11,1.54,0.38,35.73
BATCH_0133,43.68,13.91,3.06,1.75,1.26,0.4,35.39
BATCH_0134,42.9,13.43,2.87,1.93,1.99,0.52,35.87
BATCH_0135,41.94,13.81,3.33,2.27,1.43,0.42,35.61
BATCH_0136,43.0,13.61,3.93,2.19,1.12,0.34,35.21
BATCH_0137,43.43,13.25,3.1,1.94,1.49,0.32,35.57
BATCH_0138,43.45,14.86,3.31,2.18,1.39,0.52,34.52
BATCH_0139,43.37,13.46,3.14,1.97,1.34,0.53,36.44
BATCH_0140,43.74,14.2,2.98,2.12,1.49,0.55,34.51
BATCH_0141,43.69,14.67,3.44,2.16,1.77,0.51,36.32
BATCH_0142,42.38,14.71,3.35,2.31,1.27,0.49,34.65
BATCH_0143,43.84,14.26,2.92,2.39,1.31,0.39,36.13
BATCH_0144,43.88,14.17,2.89,2.05,1.39,0.39,34.69
BATCH_0145,44.79,13.5,2.79,1.99,1.54,0.42,35.66
BATCH_0146,44.97,13.8,3.5,2.37,1.25,0.35,35.25
BATCH_0147,42.32,15.64,2.87,2.04,1.07,0.45,36.42
BATCH_0148,43.77,13.32,3.47,1.97,1.45,0.48,36.27
BATCH_0149,41.67,13.52,3.02,2.31,1.2,0.32,36.45
BATCH_0150,43.37,15.42,3.3,1.9,1.38,0.22,34.77
BATCH_0151,44.3,13.88,2.84,2.0,1.74,0.39,35.13
BATCH_0152,45.2,13.7,3.29,1.8,1.7,0.28,35.66
BATCH_0153,43.3,13.29,3.32,2.19,1.5,0.3,35.23
BATCH_0154,42.36,13.4,3.29,2.06,0.95,0.19,35.47
BATCH_0155,42.61,13.8,3.22,2.0,1.64,0.38,35.52
BATCH_0156,43.82,14.91,3.15,2.23,1.42,0.53,34.97
BATCH_0157,43.5,14.12,2.91,1.9,1.6,0.5,36.39
BATCH_0158,43.03,12.82,3.56,2.26,1.49,0.55,35.5
BATCH_0159,43.41,14.83,3.18,1.73,1.56,0.24,34.74
BATCH_0160,43.09,13.86,2.86,2.58,1.7,0.46,35.15
BATCH_0161,41.93,14.19,2.64,2.31,1.49,0.44,34.95
BATCH_0162,42.83,14.49,2.64,2.02,1.44,0.44,36.12
BATCH_0163,43.36,14.09,3.14,1.97,0.96,0.51,35.73
BATCH_0164,43.49,13.6,3.17,1.99,1.1,0.43,34.86
BATCH_0165,43.34,14.55,3.13,2.33,1.55,0.38,34.79
BATCH_0166,43.08,14.15,2.99,2.27,1.73,0.51,36.11
BATCH_0167,42.44,13.67,2.86,2.17,1.33,0.35,34.67
BATCH_0168,43.24,14.07,3.49,1.9,1.49,0.37,35.3
BATCH_0169,43.81,13.33,3.2,1.97,1.01,0.33,34.67
BATCH_0170,43.11,13.55,2.92,2.22,1.14,0.48,34.61
BATCH_0171,42.86,13.68,3.38,2.32,1.61,0.42,35.84
BATCH_0172,42.34,13.39,2.97,2.27,1.58,0.45,34.53
BATCH_0173,42.47,14.23,3.52,2.17,1.34,0.19,35.75
BATCH_0174,43.37,14.36,3.2,2.67,1.07,0.51,35.83
BATCH_0175,43.79,13.12,3.56,2.45,1.63,0.28,35.09
BATCH_0176,43.27,14.13,2.94,2.11,0.97,0.49,36.2
BATCH_0177,44.29,14.49,2.96,2.02,1.22,0.43,35.31
BATCH_0178,43.15,13.21,3.54,2.56,1.44,0.31,34.89
BATCH_0179,42.73,15.1,3.38,1.92,0.99,0.48,35.23
BATCH_0180,42.67,13.7,3.22,1.67,1.49,0.3,36.44
BATCH_0181,41.58,14.69,2.95,2.03,1.18,0.36,35.7
BATCH_0182,41.78,13.32,3.18,2.08,1.79,0.26,36.32
BATCH_0183,44.44,13.75,3.02,2.27,1.37,0.29,35.84
BATCH_0184,43.6,14.46,3.34,2.37,1.5,0.39,35.61
BATCH_0185,42.11,13.67,3.04,1.99,1.29,0.39,34.66
BATCH_0186,43.36,13.0,3.08,2.13,1.31,0.38,35.62
BATCH_0187,43.3,14.1,2.93,2.33,1.12,0.34,35.33
BATCH_0188,43.65,13.48,3.57,1.92,1.74,0.23,36.46
BATCH_0189,40.84,13.49,3.54,1.75,1.16,0.43,35.84
BATCH_0190,42.2,13.78,3.04,1.79,1.47,0.65,35.72
BATCH_0191,44.04,13.91,3.58,2.18,1.71,0.36,34.89
BATCH_0192,43.26,13.02,2.99,1.92,1.65,0.36,34.68
BATCH_0193,43.2,14.49,2.86,2.25,1.56,0.48,34.78
BATCH_0194,41.96,14.01,2.61,2.11,1.78,0.31,35.96
BATCH_0195,41.84,13.11,3.19,1.95,1.34,0.35,36.41
BATCH_0196,42.88,13.36,3.31,2.16,1.64,0.27,35.52
BATCH_0197,42.88,14.43,3.3,2.03,1.13,0.42,35.45
BATCH_0198,42.69,14.0,3.48,2.06,1.61,0.55,36.26
BATCH_0199,43.21,14.43,2.86,2.1,1.44,0.34,35.38
BATCH_0200,43.91,13.73,3.06,2.07,1.33,0.27,35.14
BATCH_0201,43.1,13.53,3.03,2.32,1.78,0.34,34.57
BATCH_0202,44.1,13.5,2.97,1.95,1.05,0.45,36.14
BATCH_0203,43.64,13.52,2.96,2.12,1.36,0.42,34.75
BATCH_0204,43.79,14.29,2.9,2.18,1.23,0.41,35.51
BATCH_0205,42.86,13.6,3.28,2.27,1.15,0.29,35.76
BATCH_0206,44.18,13.52,3.16,1.81,1.3,0.45,35.89
BATCH_0207,43.63,13.67,3.4,1.94,1.6,0.41,34.75
BATCH_0208,41.82,13.68,3.29,2.14,1.03,0.31,36.26
BATCH_0209,43.34,14.14,3.44,2.22,1.33,0.51,36.09
BATCH_0210,41.85,13.74,3.17,2.21,1.59,0.39,36.0
BATCH_0211,41.53,14.32,3.03,2.14,1.6,0.35,35.96
BATCH_0212,45.17,14.14,3.03,1.98,1.38,0.38,35.91
BATCH_0213,44.51,12.9,3.22,2.12,1.15,0.44,34.83
BATCH_0214,41.68,13.52,2.61,2.25,0.99,0.4,35.82
BATCH_0215,42.56,13.43,3.67,2.11,1.42,0.33,34.65
BATCH_0216,44.64,14.28,3.46,1.82,1.17,0.12,34.7
BATCH_0217,42.35,13.82,3.61,1.77,1.45,0.35,35.62
BATCH_0218,43.37,13.98,2.84,2.31,1.51,0.33,34.9
BATCH_0219,43.15,13.5,3.22,2.11,1.42,0.31,34.54
BATCH_0220,43.74,13.45,3.16,2.11,1.1,0.32,36.36
BATCH_0221,42.44,14.25,3.16,2.04,1.15,0.39,35.39
BATCH_0222,43.15,14.0,3.47,2.1,1.52,0.56,35.24
BATCH_0223,42.98,13.99,3.27,2.35,1.03,0.41,35.33
BATCH_0224,43.19,13.98,3.74,2.03,1.46,0.35,35.19
BATCH_0225,44.0,13.65,3.11,2.25,1.54,0.42,35.45
BATCH_0226,42.43,13.12,3.12,1.99,1.56,0.21,35.52
BATCH_0227,43.34,14.96,3.59,1.98,1.32,0.29,35.59
BATCH_0228,43.35,15.12,3.35,2.09,1.62,0.42,34.52
BATCH_0229,41.5,13.44,3.79,2.15,1.59,0.31,36.43
BATCH_0230,42.5,13.92,3.06,2.14,1.7,0.46,35.93
BATCH_0231,42.67,13.06,3.29,2.09,1.17,0.31,35.91
BATCH_0232,42.66,14.34,3.71,2.02,1.54,0.28,35.11
BATCH_0233,41.43,13.75,3.21,1.83,1.17,0.32,35.54
BATCH_0234,42.73,13.82,3.0,2.14,1.05,0.35,35.42
BATCH_0235,42.83,13.43,3.37,2.07,1.62,0.44,34.72
BATCH_0236,43.09,14.31,3.17,2.02,1.51,0.49,34.76
BATCH_0237,42.31,14.35,2.97,2.03,1.34,0.41,35.82
BATCH_0238,43.7,14.21,2.62,1.95,1.22,0.41,34.88
BATCH_0239,43.87,14.64,3.67,2.2,1.19,0.46,34.55
BATCH_0240,41.94,14.43,2.84,2.16,1.23,0.46,35.07
BATCH_0241,42.74,12.68,3.27,2.09,1.19,0.3,36.01
BATCH_0242,42.67,13.24,3.15,1.92,1.32,0.43,35.1
BATCH_0243,44.3,13.95,3.53,2.34,1.18,0.48,36.28
BATCH_0244,43.11,13.77,3.32,2.05,1.68,0.48,35.97
BATCH_0245,42.98,14.06,2.99,1.93,1.44,0.41,34.53
BATCH_0246,42.14,14.89,3.03,2.27,1.44,0.3,36.46
BATCH_0247,44.41,13.73,3.61,2.04,1.59,0.42,36.49
BATCH_0248,43.25,13.61,3.54,1.53,1.4,0.39,36.02
BATCH_0249,42.66,14.97,2.77,2.09,1.11,0.53,36.23
BATCH_0250,43.24,14.17,3.41,2.53,1.34,0.31,35.17
BATCH_0251,42.09,14.37,2.92,2.14,1.15,0.47,36.47
BATCH_0252,43.13,13.95,3.49,2.21,1.36,0.38,34.97
BATCH_0253,43.64,14.13,3.37,1.99,1.31,0.48,35.47
BATCH_0254,44.63,13.81,2.84,2.09,1.19,0.45,35.87
BATCH_0255,45.0,15.02,3.15,1.93,1.52,0.36,34.76
BATCH_0256,42.14,13.65,3.51,2.26,1.4,0.3,34.75
BATCH_0257,41.85,14.05,3.18,2.39,1.25,0.37,35.48
BATCH_0258,42.96,12.84,2.98,2.23,1.69,0.36,35.02
BATCH_0259,43.81,13.68,2.69,2.17,1.6,0.53,35.49
BATCH_0260,44.25,14.12,2.55,1.99,1.29,0.45,36.37
BATCH_0261,41.97,13.37,2.43,2.04,1.29,0.42,35.0
BATCH_0262,44.09,14.62,2.94,2.2,1.53,0.35,35.09
BATCH_0263,42.81,14.03,2.79,1.81,1.48,0.36,36.05
BATCH_0264,44.42,14.58,3.7,2.16,1.52,0.54,36.19
BATCH_0265,43.03,13.91,3.32,2.1,1.34,0.34,34.74
BATCH_0266,43.49,12.97,3.14,2.31,1.39,0.45,35.93
BATCH_0267,41.33,13.23,3.33,1.65,1.3,0.51,35.26
BATCH_0268,43.1,14.14,3.0,2.09,1.54,0.71,35.22
BATCH_0269,43.25,13.97,3.03,2.1,1.56,0.41,35.05
BATCH_0270,44.36,13.81,2.83,2.35,1.55,0.45,34.83
BATCH_0271,43.19,12.72,3.0,1.72,1.49,0.48,36.48
BATCH_0272,43.23,14.76,3.19,2.16,1.16,0.38,36.33
BATCH_0273,43.28,13.55,3.35,2.11,1.25,0.4,35.04
BATCH_0274,42.51,13.84,3.51,2.2,1.45,0.41,35.04
BATCH_0275,43.87,14.73,2.98,1.77,1.33,0.31,35.35
BATCH_0276,43.63,14.24,2.99,1.97,1.29,0.45,34.97
BATCH_0277,43.16,12.75,3.24,1.93,1.17,0.4,36.43
BATCH_0278,42.03,12.69,3.16,2.1,1.44,0.36,35.62
BATCH_0279,42.4,12.89,3.33,2.22,1.28,0.37,35.41
BATCH_0280,43.46,13.5,3.05,1.86,1.76,0.4,36.03
BATCH_0281,45.19,14.03,3.4,2.05,1.24,0.42,35.83
BATCH_0282,42.78,12.91,2.95,1.87,1.32,0.33,34.86
BATCH_0283,45.1,14.03,3.35,2.02,1.62,0.29,35.61
BATCH_0284,41.85,13.25,3.6,2.07,1.42,0.48,35.99
BATCH_0285,44.92,12.94,3.12,1.97,1.36,0.54,36.04
BATCH_0286,43.43,14.52,2.97,2.0,1.3,0.32,34.67
BATCH_0287,43.57,14.01,3.58,2.14,1.23,0.24,35.96
BATCH_0288,42.08,13.12,2.87,2.09,1.49,0.47,35.35
BATCH_0289,42.88,13.02,3.85,1.88,1.62,0.25,34.82
BATCH_0290,41.82,14.49,3.14,2.32,1.29,0.35,34.67
BATCH_0291,43.05,12.36,2.76,2.02,1.14,0.48,36.36
BATCH_0292,43.49,12.96,3.07,2.12,1.74,0.29,34.6
BATCH_0293,43.55,14.3,3.23,1.98,1.29,0.44,36.12
BATCH_0294,42.56,13.57,3.08,2.3,1.32,0.61,35.78
BATCH_0295,42.1,13.74,2.96,1.94,1.76,0.49,35.36
BATCH_0296,42.43,13.43,3.54,2.1,1.36,0.39,36.11
BATCH_0297,42.74,14.24,3.71,1.64,1.63,0.46,35.39
BATCH_0298,43.23,14.21,3.53,2.24,1.45,0.3,34.99
BATCH_0299,42.44,14.53,3.09,2.4,1.84,0.38,35.61
BATCH_0300,43.58,13.93,2.82,2.02,1.58,0.4,35.33
BATCH_0301,43.15,13.05,3.38,2.18,1.7,0.51,35.84
BATCH_0302,40.65,14.62,3.43,1.75,1.28,0.56,36.15
BATCH_0303,43.42,13.79,2.99,2.23,1.08,0.4,34.69
BATCH_0304,43.36,14.61,3.31,2.0,1.21,0.37,34.85
BATCH_0305,43.46,13.88,3.04,2.02,1.53,0.37,35.63
BATCH_0306,43.28,13.18,3.46,2.18,1.48,0.36,36.31
BATCH_0307,43.29,14.0,3.18,2.02,1.32,0.47,35.14
BATCH_0308,43.18,13.21,3.19,1.85,1.68,0.26,34.66
BATCH_0309,41.8,15.5,3.08,2.14,1.29,0.34,35.39
BATCH_0310,41.63,13.86,2.71,1.6,1.46,0.41,35.48
BATCH_0311,43.09,12.4,2.81,2.17,1.46,0.47,35.46
BATCH_0312,42.66,12.8,3.17,2.11,1.43,0.54,35.15
BATCH_0313,41.74,13.59,3.18,2.36,1.03,0.44,35.35
BATCH_0314,42.69,13.44,3.0,1.96,1.27,0.36,35.42
BATCH_0315,44.08,13.96,2.78,2.0,1.37,0.23,35.04
BATCH_0316,43.06,14.44,2.93,2.02,1.36,0.11,35.49
BATCH_0317,43.35,13.16,3.17,2.22,1.6,0.24,35.59
BATCH_0318,44.32,15.14,2.8,2.25,1.4,0.25,35.73
BATCH_0319,44.76,13.21,3.86,1.98,1.13,0.38,36.39
BATCH_0320,44.69,14.17,3.27,2.2,1.2,0.56,35.99
BATCH_0321,42.94,14.18,2.89,2.21,1.1,0.51,35.66
BATCH_0322,43.07,14.38,3.27,2.18,1.9,0.37,35.8
BATCH_0323,42.56,13.89,3.38,2.25,1.57,0.5,35.14
BATCH_0324,43.51,14.7,3.22,2.31,1.93,0.46,35.18
BATCH_0325,42.45,14.84,2.88,2.36,1.55,0.53,36.37
BATCH_0326,43.87,13.86,3.15,1.93,1.41,0.47,36.47
BATCH_0327,42.42,14.44,2.91,2.19,1.25,0.44,34.84
BATCH_0328,43.47,13.47,3.76,2.11,1.24,0.29,35.26
BATCH_0329,42.87,12.94,3.59,2.27,1.3,0.34,35.6
BATCH_0330,44.62,13.43,3.54,2.07,1.37,0.44,35.26
BATCH_0331,42.55,13.74,3.59,2.07,1.62,0.44,35.64
BATCH_0332,42.7,13.14,3.89,2.47,1.17,0.56,36.45
BATCH_0333,42.78,12.07,3.34,2.26,1.06,0.39,36.1
BATCH_0334,43.01,13.24,3.6,2.29,1.28,0.45,34.74
BATCH_0335,42.85,13.14,3.3,1.9,1.45,0.41,36.3
BATCH_0336,42.11,13.83,3.23,2.14,1.58,0.5,36.29
BATCH_0337,42.55,13.59,2.94,1.96,1.58,0.39,35.05
BATCH_0338,44.19,14.23,3.9,1.99,1.59,0.39,34.94
BATCH_0339,43.36,13.66,3.12,2.0,1.32,0.49,34.99
BATCH_0340,41.33,13.66,3.84,1.79,1.0,0.25,35.01
BATCH_0341,43.56,13.88,3.83,1.82,1.41,0.44,35.87
BATCH_0342,42.39,14.29,3.24,1.84,1.58,0.26,35.06
BATCH_0343,42.61,13.58,3.49,2.37,1.5,0.39,35.58
BATCH_0344,43.32,13.6,2.8,2.04,1.5,0.45,35.23
BATCH_0345,42.73,13.05,3.54,1.86,1.52,0.23,35.17
BATCH_0346,41.55,14.17,3.51,1.92,1.35,0.43,35.51
BATCH_0347,43.69,14.53,3.34,1.94,1.05,0.31,35.91
BATCH_0348,42.1,14.65,3.67,2.28,1.25,0.37,34.54
BATCH_0349,43.65,13.81,3.07,2.14,1.52,0.33,35.38
BATCH_0350,41.62,13.69,3.22,2.03,1.08,0.32,35.52
BATCH_0351,44.48,13.6,3.41,2.09,0.8,0.29,36.11
BATCH_0352,43.34,14.49,3.02,1.9,1.45,0.22,34.6
BATCH_0353,43.66,14.73,2.86,2.02,1.48,0.25,35.29
BATCH_0354,43.81,14.38,2.83,2.54,1.55,0.4,34.68
BATCH_0355,43.41,13.12,2.95,1.95,1.26,0.36,36.02
BATCH_0356,43.7,13.24,3.53,2.14,1.45,0.37,35.33
BATCH_0357,42.8,12.76,3.23,2.08,1.3,0.42,35.09
BATCH_0358,43.84,13.77,3.2,2.13,1.3,0.31,34.77
BATCH_0359,43.13,14.28,3.15,2.34,1.17,0.37,36.41
BATCH_0360,44.14,13.75,3.72,2.27,1.51,0.51,35.15
BATCH_0361,42.86,14.03,3.29,2.25,1.39,0.5,36.04
BATCH_0362,42.74,13.69,3.47,1.95,1.35,0.44,34.85
BATCH_0363,42.34,14.89,3.42,2.19,1.37,0.28,35.54
BATCH_0364,44.08,13.12,2.87,2.24,1.38,0.35,36.22
BATCH_0365,43.43,13.51,3.01,1.98,1.12,0.35,35.38
BATCH_0366,42.42,14.13,3.42,1.98,1.1,0.4,35.62
BATCH_0367,42.93,13.02,2.83,2.27,1.4,0.37,34.95
BATCH_0368,43.34,13.62,3.01,2.28,1.23,0.58,35.51
BATCH_0369,42.45,13.47,2.94,2.27,0.96,0.31,35.21
BATCH_0370,42.56,13.48,2.98,1.87,1.39,0.25,34.89
BATCH_0371,43.86,13.37,2.93,2.02,1.31,0.48,36.4
BATCH_0372,43.14,13.16,2.97,2.27,1.45,0.4,35.51
BATCH_0373,42.63,13.65,3.5,1.83,1.2,0.24,35.65
BATCH_0374,43.65,13.59,3.26,2.21,1.28,0.39,36.21
BATCH_0375,43.79,13.66,3.32,1.93,1.17,0.25,35.8
BATCH_0376,43.2,14.04,3.44,1.74,1.54,0.38,36.16
BATCH_0377,45.22,12.16,3.14,2.35,1.6,0.66,34.67
BATCH_0378,41.79,13.24,2.51,1.94,1.55,0.36,35.79
BATCH_0379,40.69,14.46,3.21,2.05,1.6,0.57,35.03
BATCH_0380,43.92,15.04,3.37,2.07,1.47,0.52,35.8
BATCH_0381,43.14,15.43,2.7,2.22,1.26,0.38,35.1
BATCH_0382,44.78,13.58,2.95,2.24,1.31,0.32,36.17
BATCH_0383,42.56,13.38,3.32,2.21,1.42,0.15,36.22
BATCH_0384,42.85,12.56,3.55,1.94,1.23,0.36,34.91
BATCH_0385,44.27,12.67,3.01,2.31,1.26,0.44,36.37
