Batch_ID,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0109,3659.1,3.21,0.445,32.38,53.5,75.39
BATCH_0110,3435.5,2.71,0.44,33.36,55.03,75.46
BATCH_0111,3336.2,3.12,0.486,31.88,53.86,73.76
BATCH_0112,3755.6,2.46,0.511,33.6,56.21,71.22
BATCH_0113,3164.0,2.84,0.434,33.13,55.49,69.17
BATCH_0114,3768.2,2.98,0.469,35.18,57.7,78.35
BATCH_0115,3426.2,2.79,0.496,35.82,56.34,72.49
BATCH_0116,3541.5,2.94,0.51,33.0,53.42,71.53
BATCH_0117,3459.1,2.78,0.474,30.52,53.98,72.03
BATCH_0118,3779.9,2.41,0.451,32.53,56.78,74.71
BATCH_0119,3401.0,2.9,0.457,33.98,54.76,71.26
BATCH_0120,3626.5,2.98,0.539,25.2,51.97,68.96
BATCH_0121,3602.8,3.01,0.518,35.13,55.22,74.31
BATCH_0122,3769.8,2.46,0.5,35.46,54.77,75.09
BATCH_0123,3742.1,2.83,0.432,37.32,59.95,78.65
BATCH_0124,3809.7,2.61,0.463,29.68,55.81,77.46
BATCH_0125,3648.3,3.2,0.535,33.84,54.33,72.29
BATCH_0126,3507.7,2.84,0.427,31.01,52.53,72.27
BATCH_0127,3946.8,3.14,0.444,41.43,66.06,82.05
BATCH_0128,3225.9,2.6,0.477,32.35,52.93,69.34
BATCH_0129,3763.9,2.34,0.474,35.36,59.57,77.0
BATCH_0130,3656.3,2.69,0.476,36.41,56.33,72.22
BATCH_0131,4003.7,3.1,0.492,35.01,54.1,74.86
BATCH_0132,3542.3,3.24,0.44,35.14,55.77,78.76
BATCH_0133,3425.2,2.65,0.496,33.35,55.71,73.09
BATCH_0134,3568.6,2.9,0.483,32.13,55.2,71.23
BATCH_0135,3340.7,3.02,0.483,32.16,51.2,70.72
BATCH_0136,3382.9,2.96,0.401,33.82,56.0,75.71
BATCH_0137,3588.6,2.57,0.541,37.11,55.13,75.19
BATCH_0138,3909.4,2.66,0.479,33.12,57.65,72.46
BATCH_0139,4040.4,2.72,0.519,37.57,57.01,78.32
BATCH_0140,3950.8,3.01,0.467,34.83,58.07,77.32
BATCH_0141,3410.5,2.59,0.506,31.88,52.53,73.72
BATCH_0142,3749.3,2.52,0.494,27.55,53.57,70.11
BATCH_0143,3767.7,2.71,0.466,35.19,55.78,76.08
BATCH_0144,3696.7,3.13,0.54,33.26,53.44,72.33
BATCH_0145,3773.0,3.28,0.478,37.03,61.86,80.49
BATCH_0146,3516.2,2.9,0.527,35.38,55.31,72.06
BATCH_0147,3832.9,2.88,0.49,29.2,53.93,74.7
BATCH_0148,3555.8,2.34,0.465,36.64,57.39,74.48
BATCH_0149,3820.3,2.69,0.422,34.8,59.38,77.13
BATCH_0150,4034.7,2.7,0.535,31.49,54.94,75.26
BATCH_0151,3468.5,2.21,0.465,34.75,55.71,70.45
BATCH_0152,3462.9,3.05,0.447,39.81,63.48,78.97
BATCH_0153,3938.5,3.01,0.476,35.03,56.2,74.09
BATCH_0154,3503.7,2.91,0.484,30.31,54.74,71.26
BATCH_0155,3905.3,2.65,0.523,32.45,55.05,71.64
BATCH_0156,3570.9,2.86,0.527,30.57,53.18,70.15
BATCH_0157,3482.9,2.45,0.447,35.97,57.66,77.33
BATCH_0158,3393.9,2.62,0.464,33.13,56.24,70.42
BATCH_0159,3813.0,3.18,0.537,31.7,52.74,73.46
BATCH_0160,3683.5,2.75,0.423,34.37,57.05,80.18
BATCH_0161,3582.9,2.54,0.517,29.46,50.66,67.86
BATCH_0162,3614.7,2.93,0.47,32.89,54.06,74.66
BATCH_0163,3332.7,2.26,0.515,33.89,53.32,70.03
BATCH_0164,3650.6,3.29,0.458,38.71,58.79,76.26
BATCH_0165,3543.6,2.77,0.525,30.65,55.52,70.13
BATCH_0166,3309.6,2.72,0.471,30.81,54.82,73.34
BATCH_0167,3554.4,2.81,0.46,34.73,55.03,72.08
BATCH_0168,3423.1,2.59,0.477,32.95,56.9,73.18
BATCH_0169,3557.0,2.75,0.456,36.07,61.68,75.39
BATCH_0170,3844.6,2.96,0.447,34.87,55.5,77.14
BATCH_0171,3886.2,2.86,0.508,35.94,58.99,75.34
BATCH_0172,3185.8,2.64,0.458,33.64,51.84,72.16
BATCH_0173,3619.0,2.72,0.523,27.96,51.74,69.57
BATCH_0174,3750.8,2.89,0.499,33.47,55.29,74.23
BATCH_0175,3505.6,2.88,0.441,34.23,55.67,72.09
BATCH_0176,3954.6,2.05,0.518,33.27,53.01,71.3
BATCH_0177,3786.3,3.23,0.466,33.39,59.48,77.54
BATCH_0178,3327.0,3.05,0.507,30.35,54.48,69.5
BATCH_0179,3956.5,2.63,0.412,30.88,57.28,76.93
BATCH_0180,3468.5,2.85,0.492,33.66,54.46,69.95
BATCH_0181,3138.5,3.08,0.486,28.03,49.35,67.47
BATCH_0182,3648.9,2.77,0.493,29.91,54.95,71.71
BATCH_0183,3526.6,2.37,0.49,35.81,56.81,71.14
BATCH_0184,3636.4,2.62,0.484,35.55,57.22,73.33
BATCH_0185,3418.1,2.8,0.484,32.39,55.9,72.51
BATCH_0186,3844.5,2.17,0.515,39.13,58.59,72.03
BATCH_0187,3725.7,2.7,0.465,35.63,54.79,72.86
BATCH_0188,3725.7,2.05,0.451,40.01,58.39,74.77
BATCH_0189,3194.7,2.93,0.498,33.12,52.97,71.22
BATCH_0190,3658.2,2.57,0.414,35.92,58.23,76.03
BATCH_0191,3730.6,2.25,0.433,38.7,57.23,77.18
BATCH_0192,3356.7,3.1,0.49,34.73,54.58,71.58
BATCH_0193,3790.0,3.12,0.477,33.39,56.13,73.5
BATCH_0194,3541.0,3.02,0.493,31.51,52.58,72.35
BATCH_0195,3682.9,2.84,0.446,38.02,61.02,75.49
BATCH_0196,3314.2,3.05,0.478,33.49,53.96,70.55
BATCH_0197,3451.7,2.89,0.494,31.22,50.82,73.7
BATCH_0198,3706.0,2.81,0.437,32.06,56.62,71.72
BATCH_0199,3351.1,3.35,0.43,31.28,54.3,76.51
BATCH_0200,3055.7,2.85,0.523,30.75,51.56,69.24
BATCH_0201,3662.1,2.31,0.489,34.14,53.51,72.09
BATCH_0202,3339.4,2.45,0.494,34.81,56.98,72.11
BATCH_0203,3833.2,2.13,0.495,36.61,58.47,75.56
BATCH_0204,3500.0,2.88,0.479,34.37,55.1,76.73
BATCH_0205,3530.5,2.7,0.457,31.55,55.89,75.1
BATCH_0206,3419.0,2.74,0.466,37.24,59.78,77.24
BATCH_0207,3931.5,2.6,0.491,35.47,57.62,76.92
BATCH_0208,3773.2,2.97,0.456,30.86,54.68,75.98
BATCH_0209,3316.1,2.95,0.489,33.73,52.53,70.16
BATCH_0210,3840.1,2.94,0.445,35.31,58.57,79.63
BATCH_0211,3624.2,2.76,0.47,29.35,50.01,71.19
BATCH_0212,3447.9,2.91,0.489,34.08,60.58,77.31
BATCH_0213,3246.9,2.83,0.464,38.6,59.85,76.64
BATCH_0214,3604.5,2.94,0.439,33.94,50.97,72.53
BATCH_0215,4021.1,3.35,0.443,35.6,58.2,75.57
BATCH_0216,3651.2,3.03,0.432,36.63,59.64,76.01
BATCH_0217,3682.2,3.05,0.488,33.56,53.57,70.98
BATCH_0218,3502.9,2.71,0.499,32.25,56.86,68.7
BATCH_0219,3739.7,2.75,0.453,33.73,57.81,75.38
BATCH_0220,3549.9,2.87,0.514,34.44,58.39,70.19
BATCH_0221,4024.4,2.6,0.484,29.2,54.59,74.59
BATCH_0222,3471.3,2.87,0.478,33.98,54.39,71.2
BATCH_0223,3561.8,3.25,0.462,33.57,56.86,74.62
BATCH_0224,3495.8,2.78,0.492,32.23,55.24,66.92
BATCH_0225,3431.0,2.33,0.456,35.92,56.43,72.11
BATCH_0226,3002.0,3.05,0.48,35.06,51.62,71.12
BATCH_0227,3868.3,2.64,0.457,31.23,53.28,76.49
BATCH_0228,3577.1,2.53,0.51,29.12,53.66,71.81
BATCH_0229,3269.8,2.16,0.489,31.18,53.4,68.04
BATCH_0230,3336.2,2.84,0.45,32.41,54.67,71.55
BATCH_0231,3500.9,2.75,0.428,36.28,60.13,77.68
BATCH_0232,3084.1,2.7,0.508,29.85,54.14,71.35
BATCH_0233,3497.5,2.89,0.511,30.5,54.03,70.95
BATCH_0234,3673.8,2.57,0.485,33.16,53.46,72.95
BATCH_0235,3680.2,2.75,0.503,34.02,55.97,73.43
BATCH_0236,3665.5,2.22,0.469,29.58,56.56,71.55
BATCH_0237,3848.9,2.96,0.466,31.78,57.08,73.59
BATCH_0238,3916.9,2.89,0.445,33.92,55.51,77.97
BATCH_0239,4066.8,3.17,0.501,34.04,56.57,75.83
BATCH_0240,3698.9,2.51,0.462,30.92,55.79,77.51
BATCH_0241,3673.3,2.58,0.479,38.91,60.2,78.52
BATCH_0242,3895.0,3.14,0.438,37.62,57.76,74.62
BATCH_0243,3169.4,2.22,0.512,31.67,53.61,70.35
BATCH_0244,3465.6,3.0,0.448,37.62,55.87,75.91
BATCH_0245,3528.8,2.65,0.467,34.88,54.8,72.37
BATCH_0246,3485.1,2.48,0.462,28.66,53.04,69.08
BATCH_0247,3381.1,3.14,0.442,38.27,59.14,79.1
BATCH_0248,3433.2,2.58,0.513,33.22,50.77,68.8
BATCH_0249,3541.6,3.59,0.475,28.09,53.79,73.52
BATCH_0250,3779.6,2.75,0.461,36.25,55.46,76.08
BATCH_0251,3824.4,3.14,0.46,32.45,55.71,74.0
BATCH_0252,3766.6,2.97,0.497,33.75,57.65,72.89
BATCH_0253,3649.7,2.96,0.419,38.77,57.51,77.88
BATCH_0254,3729.7,2.95,0.48,37.7,61.43,76.56
BATCH_0255,3765.3,2.42,0.503,32.92,57.07,77.57
BATCH_0256,3326.2,1.85,0.488,31.35,49.48,68.01
BATCH_0257,4137.4,3.35,0.457,30.66,56.03,76.86
BATCH_0258,3930.1,2.54,0.499,37.79,59.84,77.91
BATCH_0259,3391.3,2.37,0.487,36.81,55.75,72.0
BATCH_0260,3817.7,3.08,0.484,32.69,53.82,71.05
BATCH_0261,3817.2,2.29,0.471,34.55,56.87,74.9
BATCH_0262,3457.6,2.76,0.448,33.25,53.3,73.09
BATCH_0263,3933.0,2.24,0.483,35.57,55.99,73.22
BATCH_0264,3874.1,2.14,0.526,35.55,55.9,76.36
BATCH_0265,3855.9,2.68,0.495,32.12,56.5,73.0
BATCH_0266,3365.1,3.14,0.471,38.41,60.47,75.79
BATCH_0267,4064.5,3.09,0.483,35.28,61.48,76.04
BATCH_0268,3783.2,2.42,0.511,34.56,54.77,74.08
BATCH_0269,3201.5,2.74,0.406,32.11,53.27,76.59
BATCH_0270,3724.8,2.29,0.475,33.93,57.25,75.5
BATCH_0271,3835.0,2.68,0.442,39.99,60.37,79.79
BATCH_0272,3683.6,3.24,0.45,33.36,56.9,75.24
BATCH_0273,3475.1,2.77,0.442,35.16,57.77,75.32
BATCH_0274,3479.8,3.56,0.479,30.77,53.81,73.22
BATCH_0275,3515.7,2.84,0.496,32.24,54.05,75.35
BATCH_0276,3786.7,2.9,0.548,32.58,55.74,71.73
BATCH_0277,3352.0,2.63,0.446,36.87,59.84,73.45
BATCH_0278,3370.5,3.32,0.461,34.92,56.35,71.49
BATCH_0279,3626.3,3.22,0.502,35.01,56.31,71.12
BATCH_0280,3750.1,3.09,0.534,36.16,54.55,72.43
BATCH_0281,3819.3,2.74,0.489,38.93,58.9,78.57
BATCH_0282,3897.8,2.55,0.513,33.99,53.18,73.27
BATCH_0283,3805.7,3.17,0.514,36.53,59.08,72.28
BATCH_0284,3535.7,3.12,0.476,32.03,52.85,69.84
BATCH_0285,3582.1,3.14,0.432,39.86,61.12,83.9
BATCH_0286,3517.6,3.3,0.472,30.29,52.22,74.26
BATCH_0287,3541.0,2.7,0.407,34.99,59.92,79.56
BATCH_0288,3372.8,3.31,0.505,34.76,57.32,69.61
BATCH_0289,3385.6,2.33,0.489,33.76,54.97,72.16
BATCH_0290,3457.4,2.45,0.481,27.53,53.07,71.22
BATCH_0291,3496.2,2.46,0.486,39.72,62.62,80.02
BATCH_0292,3590.9,3.0,0.513,35.44,54.68,75.0
BATCH_0293,3896.0,3.11,0.481,36.42,59.0,77.05
BATCH_0294,3775.8,2.96,0.485,33.06,55.48,75.84
BATCH_0295,3428.7,3.17,0.498,28.8,51.64,69.02
BATCH_0296,3336.1,2.69,0.443,35.15,57.77,76.17
BATCH_0297,3792.7,2.81,0.425,31.84,58.82,77.77
BATCH_0298,3433.0,2.86,0.44,34.17,59.32,77.44
BATCH_0299,3890.1,2.9,0.437,32.63,56.19,75.52
BATCH_0300,3557.9,2.7,0.492,35.01,55.96,70.95
BATCH_0301,3525.9,2.36,0.52,35.08,53.94,71.71
BATCH_0302,3381.0,2.56,0.51,26.18,51.37,68.14
BATCH_0303,3609.6,2.08,0.515,36.46,56.75,65.77
BATCH_0304,3283.0,2.75,0.482,28.06,52.82,69.3
BATCH_0305,4187.9,2.63,0.491,37.85,60.64,76.59
BATCH_0306,3408.2,2.62,0.467,34.06,52.63,72.38
BATCH_0307,4372.5,2.88,0.483,36.7,59.85,79.41
BATCH_0308,3607.4,2.95,0.451,35.24,58.13,74.9
BATCH_0309,3812.3,2.42,0.5,26.8,53.78,71.54
BATCH_0310,3673.8,2.73,0.468,35.51,57.01,74.13
BATCH_0311,3989.5,2.29,0.476,38.15,64.74,81.92
BATCH_0312,3123.8,3.23,0.443,34.37,56.35,70.87
BATCH_0313,3402.8,2.72,0.512,29.46,50.15,71.48
BATCH_0314,3195.5,2.91,0.455,33.93,50.58,73.93
BATCH_0315,3897.6,3.27,0.511,35.59,53.7,75.55
BATCH_0316,3541.3,2.53,0.504,30.59,55.91,71.63
BATCH_0317,3560.5,2.64,0.567,34.78,53.56,73.63
BATCH_0318,3634.1,2.81,0.459,35.24,58.67,79.73
BATCH_0319,3600.6,3.34,0.477,39.5,59.73,79.31
BATCH_0320,3708.7,2.68,0.496,36.79,56.62,77.1
BATCH_0321,3874.9,2.74,0.445,35.68,58.44,81.37
BATCH_0322,3191.5,2.67,0.495,30.06,50.93,71.79
BATCH_0323,3039.8,2.8,0.506,26.47,50.08,67.19
BATCH_0324,3391.1,3.13,0.506,29.39,53.21,68.65
BATCH_0325,3275.8,2.6,0.457,28.21,51.63,73.69
BATCH_0326,3316.6,2.9,0.453,36.09,59.65,72.37
BATCH_0327,3549.2,2.57,0.509,31.28,49.83,72.47
BATCH_0328,3595.9,3.0,0.498,35.37,56.31,72.54
BATCH_0329,3229.4,2.69,0.43,35.25,52.45,73.82
BATCH_0330,3560.7,2.44,0.528,36.23,56.83,71.15
BATCH_0331,3151.0,2.33,0.465,31.59,51.07,73.07
BATCH_0332,3480.9,2.41,0.453,31.82,54.73,70.13
BATCH_0333,3861.0,2.79,0.511,34.78,60.47,74.86
BATCH_0334,4259.5,2.89,0.468,34.77,60.76,74.11
BATCH_0335,3406.4,2.68,0.552,32.92,53.41,68.55
BATCH_0336,3539.6,3.24,0.495,31.94,51.35,72.74
BATCH_0337,3925.4,2.59,0.506,33.28,58.81,71.93
BATCH_0338,3470.8,2.99,0.522,33.91,56.98,70.18
BATCH_0339,3186.5,2.49,0.477,29.99,55.55,70.95
BATCH_0340,3538.4,2.11,0.455,30.43,52.24,70.85
BATCH_0341,4025.4,2.79,0.48,38.52,57.06,79.99
BATCH_0342,3579.4,2.89,0.467,32.28,55.07,73.36
BATCH_0343,3245.8,2.3,0.474,30.73,49.48,70.03
BATCH_0344,3408.5,2.66,0.412,35.71,56.24,76.43
BATCH_0345,3561.9,2.7,0.47,36.14,53.79,75.48
BATCH_0346,3543.0,2.38,0.492,31.46,52.34,69.68
BATCH_0347,3495.9,2.98,0.481,31.97,54.89,71.66
BATCH_0348,3513.0,2.78,0.469,30.79,54.64,73.64
BATCH_0349,3819.6,2.5,0.464,34.95,55.74,71.94
BATCH_0350,3529.9,2.38,0.477,33.54,54.84,74.71
BATCH_0351,3782.2,2.98,0.479,37.01,60.38,77.1
BATCH_0352,3957.8,2.72,0.454,34.33,56.48,74.2
BATCH_0353,3711.8,2.8,0.509,31.67,56.55,73.9
BATCH_0354,3691.3,2.79,0.46,31.54,57.0,78.22
BATCH_0355,3608.6,2.76,0.433,38.31,62.23,77.92
BATCH_0356,3572.2,2.89,0.505,33.92,55.95,66.08
BATCH_0357,3532.9,2.85,0.433,37.3,59.26,75.48
BATCH_0358,3730.2,2.48,0.51,35.33,53.06,70.44
BATCH_0359,3782.6,2.87,0.481,33.89,57.29,78.91
BATCH_0360,3338.8,3.34,0.53,33.1,54.74,69.99
BATCH_0361,3221.9,2.56,0.5,31.67,54.0,70.93
BATCH_0362,3804.9,2.74,0.489,35.18,51.26,73.07
BATCH_0363,3537.6,2.69,0.48,28.35,51.14,75.11
BATCH_0364,3529.5,3.17,0.452,36.83,56.82,81.94
BATCH_0365,3556.4,3.1,0.466,34.64,59.97,72.52
BATCH_0366,3696.5,2.45,0.508,29.99,53.26,72.32
BATCH_0367,3471.6,3.09,0.456,34.77,59.83,75.26
BATCH_0368,3468.4,2.4,0.492,35.49,53.56,72.16
BATCH_0369,3606.2,2.6,0.444,35.96,57.7,73.98
BATCH_0370,3309.0,2.69,0.454,33.66,52.33,75.29
BATCH_0371,3778.6,2.89,0.465,39.82,58.1,77.28
BATCH_0372,3492.8,3.09,0.519,36.53,53.69,75.58
BATCH_0373,3601.0,2.62,0.503,33.56,54.5,70.76
BATCH_0374,3937.3,2.81,0.49,36.23,58.59,70.36
BATCH_0375,3878.3,3.08,0.448,39.8,59.56,77.09
BATCH_0376,3672.8,2.81,0.506,33.75,53.96,73.14
BATCH_0377,3586.0,2.88,0.462,39.54,65.26,85.76
BATCH_0378,3282.1,2.45,0.509,34.02,55.65,71.64
BATCH_0379,3117.8,2.98,0.506,26.97,49.56,65.88
BATCH_0380,3613.3,3.06,0.466,34.53,53.84,78.42
BATCH_0381,3874.1,2.2,0.424,30.23,54.85,80.68
BATCH_0382,3648.4,3.19,0.478,37.14,60.26,77.69
BATCH_0383,3026.5,2.89,0.505,31.55,52.0,69.05
BATCH_0384,4074.5,2.77,0.513,38.16,58.41,75.84
BATCH_0385,4226.9,3.32,0.421,41.89,70.06,85.41
BATCH_0386,3164.1,2.85,0.488,33.62,52.08,74.86
BATCH_0387,3278.8,2.8,0.529,27.61,50.22,68.18
BATCH_0388,3570.6,2.8,0.422,31.37,57.11,75.7
BATCH_0389,3788.6,2.79,0.48,33.41,58.25,76.76
BATCH_0390,3336.3,2.78,0.478,33.83,52.23,72.85
BATCH_0391,3561.0,2.78,0.44,36.54,58.58,73.63
BATCH_0392,3656.0,2.22,0.446,37.68,55.76,77.39
BATCH_0393,4045.8,3.48,0.499,35.25,56.41,74.2
BATCH_0394,3371.1,2.84,0.465,33.18,56.24,75.07
BATCH_0395,3740.6,2.43,0.539,31.52,55.41,71.84
BATCH_0396,3920.7,2.82,0.441,35.21,58.13,73.82
BATCH_0397,3531.0,2.29,0.499,34.33,54.76,76.67
BATCH_0398,3609.9,2.37,0.494,32.12,53.37,71.92
BATCH_0399,3542.6,3.15,0.492,36.61,57.51,71.8
BATCH_0400,3519.2,2.69,0.467,34.54,55.76,70.96
BATCH_0401,3806.7,2.35,0.481,35.94,59.9,76.96
BATCH_0402,3399.9,2.65,0.532,31.79,51.98,70.28
BATCH_0403,3553.5,2.98,0.472,37.22,59.87,72.62
BATCH_0404,3864.5,2.94,0.48,34.68,58.02,77.38
BATCH_0405,3912.6,2.52,0.458,36.47,58.18,78.91
BATCH_0406,3459.5,2.37,0.516,34.49,53.24,71.7
BATCH_0407,3431.5,3.23,0.509,30.33,52.39,71.53
BATCH_0408,3640.7,3.25,0.441,39.57,60.13,79.04
BATCH_0409,3541.7,3.24,0.454,38.7,57.43,73.36
BATCH_0410,3584.2,2.94,0.513,28.02,52.33,64.57
BATCH_0411,3494.6,2.99,0.477,28.58,51.04,72.92
BATCH_0412,3973.3,2.75,0.499,37.73,58.55,71.87
BATCH_0413,3788.3,2.84,0.497,29.84,54.68,72.08
BATCH_0414,3985.7,2.87,0.468,38.18,60.07,75.07
BATCH_0415,3349.6,2.83,0.464,36.08,56.93,75.55
BATCH_0416,3822.8,2.74,0.471,35.35,56.89,74.27
BATCH_0417,3122.6,3.01,0.486,32.14,55.02,72.1
BATCH_0418,4009.8,2.22,0.497,33.15,55.16,72.32
BATCH_0419,3804.8,2.83,0.513,33.15,54.13,78.18
