Batch_ID,Raw_CaO,Raw_SiO2,Raw_Al2O3,Raw_Fe2O3,Raw_MgO,Raw_SO3,LOI,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Kiln_Temp_C,Feed_Rate_tph,Fan_Speed_rpm,Sec_Air_Temp_C,Fineness_90um_pct,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct,Blaine_cm2g,Gypsum_SO3_pct,WC_Ratio,Strength_3d_MPa,Strength_7d_MPa,Strength_28d_MPa
BATCH_0011,42.37,13.49,3.41,2.12,1.53,0.58,36.2,66.41,21.15,5.35,3.32,0.9796,2.4391,1.6111,1428.1,167.9,1152.9,922.1,13.81,0.941,62.52,13.47,8.56,10.1,3360.2,3.21,0.507,31.05,53.0,70.32
BATCH_0012,43.66,16.11,3.37,2.33,1.59,0.47,36.33,68.57,25.3,5.29,3.65,0.8617,2.8274,1.4487,1409.0,191.4,1061.4,910.5,11.77,0.854,40.5,41.99,7.85,11.12,4178.7,2.24,0.501,26.52,53.54,78.92
BATCH_0013,44.6,13.88,3.36,1.85,1.88,0.58,34.75,68.36,21.27,5.16,2.83,1.0116,2.6632,1.823,1467.7,192.4,1100.8,937.7,14.07,0.819,72.09,6.6,8.88,8.61,3488.9,2.3,0.457,38.49,57.02,74.41
BATCH_0014,44.79,14.04,2.82,2.28,1.82,0.5,35.0,68.91,21.6,4.34,3.51,1.0135,2.7507,1.2357,1366.8,172.7,1163.3,891.7,13.17,1.371,74.34,5.86,5.56,10.69,3368.3,2.78,0.383,35.0,57.8,74.57
BATCH_0015,44.59,14.59,3.16,2.01,1.41,0.63,35.3,68.91,22.56,4.89,3.1,0.9701,2.8237,1.5753,1434.2,193.6,1089.9,922.4,13.47,0.964,65.14,15.52,7.7,9.44,3125.7,3.18,0.462,34.94,55.39,73.01
BATCH_0016,43.45,13.43,3.14,2.0,1.28,0.48,35.27,67.13,20.74,4.85,3.09,1.0186,2.6127,1.5677,1432.5,169.6,1145.0,932.3,13.72,0.985,72.52,5.0,7.61,9.41,3392.8,2.63,0.502,35.05,54.5,71.32
BATCH_0017,42.6,14.5,3.67,2.01,1.32,0.43,35.24,65.78,22.39,5.66,3.11,0.9201,2.5532,1.8219,1420.4,194.0,1073.8,958.0,12.14,0.956,49.41,26.91,9.74,9.46,3532.2,2.62,0.537,29.74,47.82,68.38
BATCH_0018,44.24,14.27,3.39,2.23,1.4,0.31,35.16,68.23,22.01,5.22,3.43,0.9728,2.5432,1.5219,1422.7,169.8,1148.8,914.1,11.26,0.56,66.81,12.72,8.04,10.44,3703.2,2.63,0.455,36.1,58.39,75.92
BATCH_0019,43.7,14.32,3.55,2.0,1.27,0.54,34.65,66.87,21.92,5.43,3.07,0.9571,2.5804,1.7692,1348.7,203.6,1084.9,919.8,11.48,1.349,57.0,19.84,9.19,9.33,3917.8,3.03,0.495,32.27,52.08,71.41
BATCH_0020,43.4,13.81,3.23,1.95,1.4,0.45,36.24,68.07,21.65,5.06,3.05,0.9909,2.6683,1.66,1470.8,194.4,1207.7,889.3,13.81,0.854,68.65,10.29,8.26,9.28,4147.5,2.56,0.455,36.83,56.57,77.55
BATCH_0021,41.48,14.02,3.37,2.29,1.55,0.55,35.67,64.48,21.79,5.24,3.57,0.9262,2.4742,1.4696,1444.5,178.0,1096.3,908.7,12.94,0.424,52.42,22.92,7.85,10.85,3685.2,2.77,0.488,31.35,49.8,71.21
BATCH_0022,43.2,13.83,3.06,2.22,1.19,0.39,35.05,66.52,21.29,4.72,3.42,0.9854,2.6142,1.3778,1424.2,187.7,1135.6,875.0,10.2,0.925,66.93,10.54,6.71,10.42,3683.1,2.58,0.527,32.99,55.6,71.38
BATCH_0023,44.12,13.9,2.89,2.05,1.7,0.49,35.6,68.52,21.58,4.49,3.18,1.0092,2.8137,1.4143,1404.8,174.9,1013.5,977.8,13.83,1.067,73.66,6.31,6.53,9.67,3650.0,2.15,0.465,37.46,58.74,75.72
BATCH_0024,41.67,13.77,3.32,2.09,0.99,0.39,36.4,65.51,21.65,5.21,3.29,0.9494,2.5453,1.5836,1374.3,190.0,1118.3,882.4,11.73,0.904,57.04,19.03,8.24,10.02,3584.3,3.09,0.45,32.96,53.79,72.22
BATCH_0025,41.91,13.69,3.22,1.64,1.38,0.4,34.85,64.33,21.01,4.94,2.52,0.9691,2.8155,1.9576,1438.0,198.1,1142.6,895.2,11.4,0.884,60.09,14.9,8.82,7.68,3463.2,2.43,0.551,30.18,50.06,63.96
BATCH_0026,43.72,13.99,4.12,2.32,1.37,0.3,35.99,68.31,21.85,6.44,3.63,0.9583,2.1693,1.7744,1363.8,183.1,1062.2,863.1,11.53,0.907,58.47,18.54,10.93,11.05,4021.8,3.06,0.48,36.54,57.06,74.14
BATCH_0027,42.8,14.75,3.08,1.97,1.68,0.27,35.67,66.54,22.93,4.79,3.06,0.925,2.9207,1.5682,1353.0,194.1,1101.4,925.1,11.96,1.184,54.04,24.97,7.53,9.3,3485.5,2.61,0.469,29.48,51.74,71.79
BATCH_0028,43.24,13.3,3.28,2.09,1.35,0.31,36.29,67.88,20.88,5.15,3.28,1.0165,2.4765,1.57,1399.8,191.3,1125.0,880.9,12.65,1.324,71.59,5.85,8.1,9.98,3182.6,2.96,0.46,34.77,53.3,68.01
BATCH_0029,42.79,13.62,2.74,2.26,1.17,0.43,35.52,66.35,21.12,4.25,3.5,0.9977,2.722,1.2138,1517.4,155.8,1092.6,903.7,11.6,0.3,72.95,5.5,5.34,10.66,3876.6,3.03,0.458,40.16,56.34,75.55
BATCH_0030,43.53,13.44,3.23,2.07,1.63,0.43,36.36,68.41,21.11,5.07,3.25,1.0162,2.5379,1.5593,1431.8,173.8,1075.6,902.7,13.09,0.815,74.08,5.0,7.93,9.89,3672.4,3.42,0.506,35.65,58.54,72.98
BATCH_0031,42.59,12.46,3.52,1.93,1.08,0.4,35.38,65.91,19.28,5.44,2.99,1.0551,2.2879,1.8203,1411.6,192.3,1144.6,923.8,11.17,1.199,74.28,5.0,9.36,9.09,3641.3,2.97,0.454,36.88,59.08,77.85
BATCH_0032,43.36,13.95,3.06,1.93,1.57,0.31,35.57,67.3,21.65,4.75,3.0,0.9858,2.7941,1.5866,1422.5,172.8,1123.9,933.3,14.06,0.828,68.48,10.41,7.53,9.12,3532.5,2.51,0.467,35.22,57.45,72.76
BATCH_0033,44.45,14.41,2.71,2.16,1.19,0.35,35.94,69.38,22.49,4.23,3.37,0.988,2.96,1.257,1426.0,192.5,1055.5,827.0,12.77,1.381,71.15,10.8,5.52,10.24,3549.3,2.81,0.533,32.88,53.9,72.05
BATCH_0034,44.89,14.61,3.68,2.0,1.2,0.39,34.81,68.86,22.41,5.64,3.06,0.9631,2.5736,1.841,1422.0,196.4,1015.4,981.2,12.26,0.863,62.56,17.04,9.77,9.32,3347.0,2.3,0.505,32.55,52.11,69.72
BATCH_0035,41.85,13.64,2.86,2.07,1.4,0.27,35.98,65.36,21.31,4.47,3.23,0.9736,2.766,1.3827,1448.2,177.6,1154.0,846.2,10.97,0.59,65.88,11.4,6.38,9.84,3400.2,2.75,0.48,33.27,53.42,72.73
BATCH_0036,43.38,13.71,3.03,1.99,1.39,0.35,36.0,67.78,21.43,4.73,3.11,1.0012,2.7326,1.5211,1395.1,181.6,1087.3,980.2,8.52,0.927,71.53,7.47,7.27,9.46,3911.5,2.18,0.47,36.16,56.09,74.86
BATCH_0037,42.87,13.76,3.35,1.95,1.38,0.4,35.79,66.77,21.43,5.21,3.03,0.9788,2.6003,1.7197,1395.3,169.1,1104.9,914.8,13.25,0.785,64.66,12.65,8.68,9.22,3512.3,2.73,0.504,32.14,54.7,72.37
BATCH_0038,42.23,14.17,3.38,2.04,1.47,0.27,35.29,65.26,21.9,5.22,3.15,0.9373,2.6162,1.6574,1452.3,177.2,1073.9,962.0,11.44,0.3,57.24,19.6,8.5,9.58,3210.8,2.98,0.442,34.46,51.5,76.83
BATCH_0039,44.07,13.78,3.1,2.37,1.83,0.47,35.09,67.9,21.23,4.77,3.65,1.0052,2.5201,1.3082,1398.2,173.7,1035.6,924.0,10.06,0.884,72.12,6.47,6.48,11.11,4101.4,3.02,0.466,37.87,61.41,80.07
BATCH_0040,41.54,13.03,3.01,2.11,1.5,0.33,35.83,64.74,20.31,4.69,3.28,1.0017,2.5465,1.431,1426.5,168.7,1069.4,863.7,11.12,0.451,69.68,5.66,6.89,9.98,3356.0,3.12,0.452,38.3,56.57,73.55
BATCH_0041,43.75,12.89,3.2,1.97,1.06,0.5,35.97,68.32,20.13,4.99,3.07,1.0617,2.4946,1.625,1407.7,183.6,1109.0,906.6,15.46,1.45,79.08,5.0,8.04,9.35,3210.5,2.68,0.495,35.83,54.41,74.61
BATCH_0042,42.55,13.65,3.18,2.22,1.44,0.27,35.68,66.15,21.22,4.94,3.46,0.9784,2.5272,1.4287,1433.3,189.2,1128.0,963.2,13.75,1.024,64.5,12.2,7.24,10.52,3582.5,2.3,0.493,33.0,54.36,69.43
BATCH_0043,43.6,13.67,3.54,2.08,1.31,0.49,36.33,68.48,21.47,5.56,3.27,0.9936,2.4316,1.6981,1370.8,187.5,1047.9,971.1,12.11,1.251,66.29,11.55,9.19,9.96,3703.1,2.22,0.46,36.27,57.8,74.98
BATCH_0044,43.27,14.44,3.04,2.38,1.86,0.36,35.73,67.33,22.47,4.74,3.71,0.9483,2.6608,1.2783,1404.4,201.8,1179.0,899.1,11.87,0.966,60.69,18.63,6.28,11.28,3263.9,2.52,0.45,30.38,53.75,73.51
BATCH_0045,42.24,14.21,3.15,1.93,1.86,0.33,35.27,65.25,21.95,4.87,2.99,0.9423,2.7943,1.6282,1460.8,204.3,1021.5,923.0,11.72,0.573,58.02,19.16,7.84,9.1,3738.8,2.61,0.465,32.92,55.11,72.9
BATCH_0046,42.45,14.08,3.03,2.23,1.44,0.25,36.02,66.35,22.01,4.74,3.48,0.9535,2.6769,1.3628,1474.2,206.9,1069.4,904.5,12.93,0.792,61.65,16.59,6.68,10.59,3764.6,3.4,0.475,32.18,53.46,73.32
BATCH_0047,42.44,13.8,3.41,1.89,0.7,0.31,35.95,66.26,21.54,5.32,2.95,0.9659,2.6047,1.8055,1462.2,185.1,1166.2,874.7,10.04,0.474,62.79,14.38,9.11,8.97,3660.0,2.89,0.508,34.34,55.85,74.47
BATCH_0048,44.16,14.5,3.61,2.23,1.37,0.41,36.17,69.19,22.72,5.66,3.49,0.9519,2.4813,1.6211,1462.2,167.7,1118.4,904.3,12.54,0.577,61.74,18.56,9.1,10.63,3647.8,2.81,0.439,35.95,58.98,81.54
BATCH_0049,43.44,13.56,3.36,2.11,1.64,0.26,36.06,67.94,21.21,5.26,3.3,1.0016,2.4784,1.5934,1426.1,186.1,1090.7,903.8,11.96,0.924,70.47,7.63,8.35,10.04,3147.5,3.09,0.466,34.38,55.43,71.06
BATCH_0050,44.61,13.76,3.03,2.48,1.11,0.18,34.55,68.16,21.02,4.63,3.78,1.019,2.4975,1.225,1435.4,172.5,1048.9,948.3,12.87,0.75,77.3,5.0,5.88,11.51,3279.9,3.06,0.5,34.79,58.72,71.36
BATCH_0051,44.01,13.68,2.99,1.97,1.41,0.38,35.3,68.01,21.14,4.62,3.04,1.0198,2.7612,1.5191,1453.3,174.9,1125.3,918.8,12.9,0.722,76.29,5.0,7.09,9.25,3776.9,3.02,0.494,37.82,57.02,76.65
BATCH_0052,43.38,14.23,3.17,2.39,1.26,0.58,34.57,66.29,21.74,4.85,3.65,0.9599,2.558,1.3287,1418.6,158.5,1106.4,892.8,13.76,0.58,61.96,15.59,6.68,11.11,3488.5,2.23,0.466,29.87,52.46,75.02
BATCH_0053,43.53,14.09,3.19,1.99,1.35,0.36,35.89,67.91,21.97,4.98,3.1,0.9769,2.7203,1.6078,1504.1,179.7,1126.2,991.3,11.19,0.3,68.74,11.14,7.96,9.43,3532.7,2.77,0.475,34.75,57.73,73.86
BATCH_0054,42.69,14.14,3.62,2.28,1.41,0.34,35.88,66.57,22.06,5.65,3.56,0.9396,2.3953,1.5842,1444.4,185.9,1144.8,945.4,14.07,0.678,56.1,20.92,8.93,10.84,3929.3,2.86,0.542,30.83,56.25,72.55
BATCH_0055,42.27,13.48,3.39,2.33,1.99,0.39,34.66,64.7,20.64,5.18,3.56,0.9757,2.3606,1.4556,1387.3,191.3,1043.6,942.6,11.75,1.115,60.41,13.58,7.71,10.83,3872.8,2.77,0.508,33.37,50.56,69.42
BATCH_0056,43.4,14.43,3.71,2.01,1.62,0.4,35.24,67.02,22.28,5.72,3.1,0.9404,2.5253,1.845,1414.0,193.3,1132.6,856.9,14.71,1.274,53.71,23.36,9.92,9.44,3443.6,2.92,0.495,30.33,51.18,69.4
BATCH_0057,43.49,13.63,2.7,2.09,1.37,0.51,36.44,68.43,21.44,4.26,3.29,1.0172,2.8417,1.2942,1341.8,183.5,1042.2,932.8,13.06,1.504,73.96,5.66,5.71,10.01,3801.8,2.43,0.513,33.4,52.84,71.9
BATCH_0058,43.27,13.03,3.5,2.0,1.09,0.36,34.65,66.21,19.94,5.35,3.06,1.0306,2.3691,1.7483,1472.5,192.8,1082.6,906.0,12.02,1.095,71.64,5.0,9.01,9.32,3695.5,2.93,0.511,35.67,55.13,71.59
BATCH_0059,43.24,13.39,3.16,1.89,1.36,0.44,35.04,66.57,20.61,4.87,2.91,1.0173,2.649,1.6697,1399.4,180.1,1107.0,938.1,12.3,1.239,70.52,5.88,7.96,8.87,3074.8,3.68,0.454,34.12,52.44,71.75
BATCH_0060,42.64,14.95,3.14,2.14,1.57,0.45,35.85,66.46,23.3,4.9,3.34,0.9068,2.8278,1.4662,1425.3,185.5,1220.2,917.7,12.8,0.925,50.03,29.06,7.33,10.17,3876.4,3.16,0.499,28.39,55.85,71.79
BATCH_0061,44.1,13.65,3.3,2.39,1.51,0.44,34.71,67.56,20.91,5.06,3.66,1.0086,2.399,1.3834,1361.0,166.0,1152.3,942.8,13.58,1.335,69.59,7.44,7.22,11.13,3922.4,2.72,0.484,33.88,54.27,70.76
BATCH_0062,42.31,12.51,3.01,1.84,1.73,0.5,35.89,65.99,19.51,4.69,2.86,1.0623,2.5823,1.6391,1395.9,213.8,1149.1,907.0,8.75,1.638,75.87,5.0,7.59,8.71,3252.6,2.31,0.511,36.5,55.91,71.26
BATCH_0063,42.97,14.04,3.14,2.21,1.39,0.3,36.13,67.28,21.97,4.92,3.46,0.9655,2.6215,1.4219,1389.5,165.2,1148.5,895.3,9.63,0.667,64.8,14.11,7.19,10.53,3978.6,3.03,0.462,33.6,57.84,76.96
BATCH_0064,43.29,13.0,3.02,2.16,1.08,0.44,35.86,67.5,20.27,4.71,3.37,1.045,2.5079,1.3954,1419.3,188.3,1111.2,974.6,12.69,1.094,77.89,5.0,6.77,10.27,3630.6,2.96,0.481,36.68,57.05,74.61
BATCH_0065,44.23,13.62,3.12,2.25,1.55,0.33,35.72,68.82,21.19,4.85,3.5,1.0207,2.5373,1.3853,1448.1,171.6,1191.0,886.9,12.86,0.637,77.48,5.0,6.93,10.65,4155.7,2.43,0.496,37.88,60.14,79.65
BATCH_0066,43.24,13.71,3.49,2.54,1.29,0.26,34.69,66.21,21.0,5.34,3.89,0.9776,2.2735,1.3725,1416.9,218.7,1059.8,985.6,15.02,1.364,61.81,13.57,7.57,11.84,3742.2,3.29,0.469,32.56,53.36,70.53
BATCH_0067,42.67,13.68,2.97,2.11,1.28,0.47,34.95,65.6,21.03,4.57,3.24,0.9868,2.6937,1.4109,1456.1,181.6,1123.1,1004.7,10.74,0.344,68.42,8.68,6.63,9.86,3773.7,3.38,0.472,37.85,57.46,74.28
BATCH_0068,43.68,13.25,3.25,1.82,1.38,0.31,36.42,68.7,20.83,5.11,2.86,1.0358,2.6139,1.7889,1394.3,198.5,1154.6,944.4,10.86,1.188,76.69,5.0,8.71,8.7,3903.3,2.84,0.55,36.76,57.24,73.04
BATCH_0069,43.65,14.15,2.88,1.92,1.26,0.38,34.76,66.91,21.69,4.41,2.95,0.9849,2.9473,1.4978,1423.1,190.6,1057.6,856.0,15.73,1.041,67.82,11.01,6.71,8.96,3809.1,2.81,0.488,34.34,55.46,75.09
BATCH_0070,43.27,13.74,3.48,2.04,1.45,0.43,36.36,68.0,21.59,5.46,3.21,0.9841,2.4903,1.7022,1396.6,194.9,1091.3,889.8,13.3,1.08,65.11,12.78,9.04,9.76,3607.0,2.8,0.513,33.81,54.27,73.23
BATCH_0071,42.61,14.12,2.44,2.11,1.33,0.3,35.71,66.29,21.96,3.8,3.29,0.9722,3.0994,1.156,1437.8,180.8,1009.9,894.1,8.17,0.422,69.68,10.39,4.51,10.0,3670.8,2.56,0.496,32.56,54.63,75.42
BATCH_0072,43.01,14.69,3.24,2.03,1.28,0.37,34.62,65.78,22.48,4.96,3.11,0.9277,2.7845,1.5963,1406.4,182.6,1108.0,920.1,13.16,1.058,53.28,24.25,7.89,9.46,3837.4,2.35,0.403,34.1,54.65,77.03
BATCH_0073,44.29,13.61,3.46,2.25,1.39,0.38,35.24,68.38,21.01,5.35,3.48,1.0128,2.381,1.5377,1406.3,179.8,1143.2,888.1,12.66,0.878,72.51,5.55,8.29,10.58,3351.5,2.79,0.421,39.14,55.96,75.34
BATCH_0074,43.04,14.83,2.79,1.78,1.69,0.38,35.15,66.37,22.86,4.3,2.74,0.9354,3.2475,1.5689,1396.6,195.6,1069.7,993.0,13.52,1.025,57.81,21.94,6.76,8.34,4139.3,2.62,0.502,32.73,57.53,78.26
BATCH_0075,42.13,13.84,3.23,2.44,1.35,0.41,34.63,64.45,21.17,4.94,3.74,0.953,2.4401,1.32,1428.3,173.2,1059.9,972.0,11.03,0.327,59.86,15.53,6.75,11.38,3770.1,3.15,0.466,33.07,56.11,73.39
BATCH_0076,44.1,13.35,2.77,2.4,1.34,0.37,36.03,68.93,20.86,4.34,3.75,1.0435,2.5796,1.1555,1466.5,188.3,1122.8,1006.6,11.53,0.918,82.17,5.0,5.14,11.42,3614.3,2.88,0.526,36.81,58.82,77.8
BATCH_0077,43.7,13.67,3.02,1.84,1.05,0.21,34.76,66.98,20.96,4.63,2.83,1.0137,2.8105,1.6388,1440.3,182.2,1075.8,906.7,12.82,0.857,73.86,5.0,7.49,8.6,3264.9,3.07,0.489,35.03,56.43,70.54
BATCH_0078,43.64,14.24,3.4,2.33,1.44,0.27,35.42,67.58,22.05,5.26,3.62,0.9598,2.4838,1.4558,1434.0,170.2,1073.6,943.5,14.36,0.753,62.73,15.9,7.83,11.0,3677.2,3.31,0.487,36.52,56.3,70.93
BATCH_0079,43.5,14.34,3.01,2.2,1.35,0.4,35.88,67.83,22.36,4.7,3.42,0.9624,2.753,1.3724,1449.0,166.1,1164.4,903.1,12.89,0.3,66.72,13.78,6.66,10.42,3780.0,3.23,0.465,34.26,58.68,80.19
BATCH_0080,42.49,14.19,3.16,2.18,1.22,0.36,34.51,64.89,21.67,4.83,3.33,0.9455,2.6533,1.4486,1445.3,174.4,1186.3,904.0,12.84,0.697,57.88,18.45,7.16,10.15,3245.4,2.27,0.434,33.15,53.0,77.56
BATCH_0081,43.31,13.39,3.76,2.48,1.73,0.5,35.78,67.45,20.85,5.85,3.86,0.9933,2.1469,1.5171,1398.1,192.4,1099.6,972.5,14.17,1.183,64.3,11.26,8.98,11.74,3837.0,3.0,0.397,37.49,57.82,75.6
BATCH_0082,43.13,13.73,3.65,2.23,1.2,0.59,35.37,66.72,21.24,5.65,3.44,0.9742,2.3344,1.6414,1462.7,188.7,1088.7,881.6,11.94,0.779,61.56,14.45,9.15,10.48,4071.1,3.26,0.465,34.21,57.76,73.04
BATCH_0083,44.13,13.68,3.09,2.18,1.36,0.54,35.1,67.99,21.08,4.76,3.36,1.0159,2.5965,1.4169,1381.1,179.2,1110.3,904.9,8.19,0.82,74.09,5.0,6.93,10.22,3825.0,3.03,0.491,35.19,58.2,74.06
BATCH_0084,43.11,13.68,2.94,1.93,1.35,0.44,35.81,67.16,21.31,4.58,3.01,1.0007,2.8079,1.5179,1452.0,168.0,1174.6,909.2,12.47,0.487,72.5,6.4,7.02,9.17,2993.9,3.07,0.502,33.07,53.88,71.5
BATCH_0085,43.1,13.44,3.47,1.92,1.18,0.46,36.37,67.74,21.12,5.45,3.01,1.0017,2.497,1.8085,1373.3,216.2,1104.0,933.9,11.29,1.415,66.56,10.34,9.34,9.16,3493.3,2.64,0.499,32.68,55.29,75.48
BATCH_0086,43.59,14.22,3.25,2.03,1.23,0.41,34.73,66.78,21.78,4.98,3.1,0.968,2.6926,1.6051,1382.5,136.2,1121.8,956.2,8.96,0.3,65.4,13.11,7.95,9.45,3754.8,3.42,0.481,34.44,57.04,78.38
BATCH_0087,42.63,14.16,2.99,2.0,1.63,0.32,34.6,65.19,21.65,4.57,3.06,0.9573,2.8407,1.4952,1369.4,181.4,1082.0,940.5,12.98,1.127,59.77,16.99,6.94,9.3,3584.7,2.58,0.483,32.46,51.79,71.79
BATCH_0088,42.82,14.49,3.23,1.81,1.58,0.33,35.81,66.71,22.57,5.04,2.82,0.9384,2.8712,1.7844,1485.6,196.2,1077.6,971.2,12.6,0.625,58.09,20.89,8.57,8.59,3721.2,2.55,0.461,34.68,55.87,75.3
BATCH_0089,43.47,14.26,3.14,1.87,1.25,0.42,34.87,66.74,21.89,4.82,2.87,0.9681,2.847,1.6816,1426.7,183.6,1126.1,920.2,12.9,0.831,63.63,14.76,7.93,8.72,3887.2,3.23,0.444,35.08,57.93,76.6
BATCH_0090,43.72,14.0,3.26,2.03,1.47,0.37,35.55,67.84,21.72,5.06,3.15,0.9844,2.6468,1.6056,1425.9,199.8,1049.7,965.6,14.48,1.165,66.29,12.25,8.07,9.58,3069.5,2.62,0.519,30.94,50.04,67.57
BATCH_0091,42.69,13.55,3.0,1.69,1.55,0.53,35.92,66.63,21.15,4.68,2.64,1.0009,2.8867,1.7716,1366.9,198.7,1094.8,969.0,12.56,1.445,67.01,10.09,7.94,8.05,3693.1,2.56,0.516,31.6,53.05,71.69
BATCH_0092,43.98,12.99,3.24,2.49,1.2,0.33,36.17,68.91,20.36,5.07,3.9,1.0502,2.2691,1.3015,1438.0,182.7,1117.5,939.6,13.45,1.234,79.67,5.0,6.85,11.86,3702.5,2.73,0.5,39.02,58.09,74.19
BATCH_0093,43.33,14.46,3.28,2.09,1.36,0.31,35.42,67.09,22.39,5.07,3.23,0.9465,2.6962,1.5694,1412.2,186.3,1078.2,950.0,12.79,0.922,59.15,19.58,7.97,9.84,3822.2,2.64,0.5,31.94,55.33,72.69
BATCH_0094,43.0,13.59,3.19,2.04,1.56,0.24,35.58,66.75,21.1,4.96,3.17,0.9951,2.5968,1.5663,1383.1,164.0,1147.5,988.4,12.34,0.919,68.76,8.61,7.78,9.63,3617.5,3.15,0.452,35.77,58.27,75.62
BATCH_0095,43.79,15.41,2.66,1.96,1.69,0.36,36.26,68.7,24.18,4.17,3.08,0.9195,3.3365,1.3539,1451.0,183.5,1205.3,875.5,14.33,0.978,57.88,25.66,5.84,9.37,3346.4,3.03,0.451,30.59,54.14,70.96
BATCH_0096,43.31,14.13,3.21,2.44,1.28,0.42,35.8,67.47,22.01,5.01,3.8,0.9623,2.5001,1.3174,1394.0,160.2,1069.4,918.5,11.86,0.594,64.03,14.81,6.84,11.56,3248.4,2.78,0.435,34.27,55.69,71.93
BATCH_0097,44.18,13.45,3.34,2.65,1.48,0.38,34.51,67.46,20.54,5.11,4.04,1.0178,2.2459,1.2637,1392.7,177.1,1055.7,930.7,12.66,0.792,73.52,5.0,6.69,12.3,3595.4,3.12,0.468,35.26,55.03,71.29
BATCH_0098,43.44,14.11,2.73,2.28,1.3,0.41,35.32,67.16,21.81,4.21,3.52,0.9818,2.8184,1.196,1476.4,193.5,1086.6,884.4,9.27,0.3,71.28,8.75,5.21,10.72,3547.2,2.5,0.476,35.21,56.62,74.24
BATCH_0099,44.3,14.49,3.55,1.75,1.44,0.48,36.38,69.64,22.78,5.58,2.76,0.9634,2.7316,2.0265,1433.4,189.5,1102.9,890.2,9.95,0.51,64.69,16.52,10.14,8.39,4269.5,2.65,0.421,39.95,63.93,85.15
BATCH_0100,42.62,14.87,2.84,2.28,1.6,0.33,36.19,66.79,23.3,4.45,3.58,0.9162,2.9001,1.2444,1468.7,176.2,1114.4,930.4,12.3,0.496,56.31,24.31,5.75,10.89,3798.4,2.28,0.519,28.68,55.57,76.11
