Batch_ID,Kiln_Temp_C,Feed_Rate_tph,Fan_Speed_rpm,Sec_Air_Temp_C,Fineness_90um_pct
BATCH_0218,1366.2,177.8,1077.7,924.5,11.96
BATCH_0219,1412.8,191.4,1091.0,926.5,12.75
BATCH_0220,1467.3,193.3,1096.9,929.7,12.06
BATCH_0221,1379.5,154.8,1106.0,894.6,15.03
BATCH_0222,1433.3,184.7,1024.1,814.8,13.08
BATCH_0223,1460.1,178.5,1052.4,895.8,11.91
BATCH_0224,1390.4,171.2,1076.1,934.4,16.02
BATCH_0225,1420.4,188.4,1012.9,905.1,10.03
BATCH_0226,1421.6,188.4,1192.8,900.7,12.99
BATCH_0227,1390.2,151.3,1095.8,980.4,13.03
BATCH_0228,1427.3,163.6,1111.7,961.4,11.25
BATCH_0229,1364.9,161.7,1095.1,840.2,10.99
BATCH_0230,1437.8,173.5,1025.8,911.7,14.31
BATCH_0231,1473.7,180.5,1105.1,924.2,14.59
BATCH_0232,1446.4,183.0,1123.7,894.2,10.01
BATCH_0233,1381.5,178.4,1069.9,932.7,13.47
BATCH_0234,1381.8,182.0,1149.7,945.8,8.94
BATCH_0235,1398.2,185.1,1054.9,957.9,10.4
BATCH_0236,1396.6,179.1,1047.1,820.1,12.8
BATCH_0237,1455.0,184.0,1093.7,958.7,11.3
BATCH_0238,1436.8,202.5,1075.3,900.1,14.22
BATCH_0239,1389.6,174.9,1119.2,887.8,10.78
BATCH_0240,1418.8,156.1,1121.0,896.9,13.82
BATCH_0241,1450.4,150.7,1115.7,912.5,13.25
BATCH_0242,1432.2,166.5,1075.6,963.0,13.24
BATCH_0243,1413.6,182.1,1106.4,923.5,14.79
BATCH_0244,1450.5,165.5,1096.0,908.0,10.99
BATCH_0245,1420.2,192.9,1080.3,932.8,11.74
BATCH_0246,1419.8,191.8,1090.6,967.7,14.03
BATCH_0247,1480.5,157.8,1041.8,993.3,11.4
BATCH_0248,1404.1,205.9,1055.6,950.9,13.03
BATCH_0249,1419.8,182.7,1238.4,896.3,15.12
BATCH_0250,1428.6,168.0,1174.1,908.7,11.65
BATCH_0251,1452.6,191.0,1151.6,982.6,10.74
BATCH_0252,1437.9,199.1,1106.3,901.2,11.01
BATCH_0253,1424.4,162.3,1193.7,959.1,12.56
BATCH_0254,1430.2,194.4,1060.5,921.4,10.45
BATCH_0255,1433.7,170.1,1112.5,887.5,14.28
BATCH_0256,1442.6,180.3,984.0,951.3,12.46
BATCH_0257,1389.0,172.2,1005.4,904.6,12.42
BATCH_0258,1446.5,151.3,1133.0,887.8,12.96
BATCH_0259,1406.8,182.2,1102.5,979.6,11.28
BATCH_0260,1328.1,218.2,1126.6,926.0,14.27
BATCH_0261,1421.6,198.9,1229.7,965.5,11.82
BATCH_0262,1393.0,204.1,1111.4,945.4,11.27
BATCH_0263,1388.4,189.1,1059.4,909.0,11.16
BATCH_0264,1435.7,172.5,1077.6,929.5,10.56
BATCH_0265,1371.3,199.3,1210.3,968.0,10.61
BATCH_0266,1408.8,164.6,1093.8,932.4,11.52
BATCH_0267,1491.5,184.4,1053.7,881.6,12.72
BATCH_0268,1448.3,167.3,1078.8,901.9,9.81
BATCH_0269,1421.5,187.4,1133.3,917.5,11.79
BATCH_0270,1445.1,215.9,1209.3,892.5,14.94
BATCH_0271,1412.2,184.3,1083.7,949.6,12.69
BATCH_0272,1441.3,156.7,1110.0,924.0,12.56
BATCH_0273,1462.2,182.7,1131.3,908.9,13.18
BATCH_0274,1434.0,183.0,1048.5,921.8,10.89
BATCH_0275,1397.2,189.2,1097.5,886.8,13.38
BATCH_0276,1456.2,173.9,1145.4,924.9,12.31
BATCH_0277,1352.4,169.9,1227.6,946.0,11.18
BATCH_0278,1413.0,185.5,1152.0,841.8,11.95
BATCH_0279,1429.2,177.7,1150.0,1017.5,9.94
BATCH_0280,1412.1,166.1,1246.8,877.1,11.86
BATCH_0281,1475.4,175.4,1098.7,978.3,12.05
BATCH_0282,1363.1,210.3,1162.6,888.8,12.91
BATCH_0283,1441.3,148.8,1133.9,876.8,12.92
BATCH_0284,1444.4,184.2,1089.6,907.5,13.79
BATCH_0285,1385.5,173.2,1132.7,923.7,12.76
BATCH_0286,1407.8,191.6,1047.3,937.1,9.95
BATCH_0287,1407.8,150.6,1068.6,908.3,11.47
BATCH_0288,1510.0,146.3,1130.4,897.7,11.62
BATCH_0289,1436.0,176.2,1068.5,927.9,12.59
BATCH_0290,1393.3,193.1,1064.5,945.8,11.93
BATCH_0291,1434.7,185.4,969.8,899.0,11.45
BATCH_0292,1454.2,201.0,1068.6,908.9,10.95
BATCH_0293,1434.5,175.6,969.0,868.4,13.43
BATCH_0294,1435.1,160.9,1093.6,893.9,9.21
BATCH_0295,1411.2,190.1,1079.0,924.4,13.16
BATCH_0296,1465.2,168.8,1165.8,928.4,12.26
BATCH_0297,1477.4,162.3,1172.6,890.4,14.08
BATCH_0298,1419.9,172.0,1082.8,905.0,11.03
BATCH_0299,1366.8,194.2,1111.2,940.1,11.99
BATCH_0300,1443.1,206.5,1151.9,923.7,11.73
BATCH_0301,1432.3,172.9,1110.2,915.6,13.93
BATCH_0302,1470.7,194.1,1091.2,923.3,12.3
BATCH_0303,1468.5,173.3,1063.6,949.0,12.75
BATCH_0304,1384.8,180.7,1071.8,860.2,14.38
BATCH_0305,1414.3,179.6,1070.5,917.0,9.47
BATCH_0306,1435.8,176.1,1127.8,843.8,11.85
BATCH_0307,1427.4,175.0,1164.7,998.0,10.63
BATCH_0308,1413.1,164.4,1128.5,906.7,11.72
BATCH_0309,1392.5,189.0,1029.5,934.6,9.22
BATCH_0310,1410.0,178.4,1254.9,909.7,13.27
BATCH_0311,1392.7,183.9,1052.7,930.4,12.58
BATCH_0312,1411.7,178.2,1044.8,952.8,12.78
BATCH_0313,1388.8,189.4,1054.7,982.9,11.15
BATCH_0314,1397.8,183.1,1118.0,883.6,14.41
BATCH_0315,1445.0,176.6,1030.5,862.1,14.15
BATCH_0316,1478.5,166.5,1125.3,916.5,14.39
BATCH_0317,1428.9,166.5,1071.7,953.8,13.62
BATCH_0318,1437.3,192.5,1069.9,966.6,10.0
BATCH_0319,1533.4,193.4,1130.1,951.8,11.35
BATCH_0320,1489.7,185.9,1179.5,897.2,11.3
BATCH_0321,1396.7,164.6,1028.2,896.8,9.64
BATCH_0322,1408.9,181.7,1153.6,859.7,9.55
BATCH_0323,1410.2,210.8,1082.3,924.4,14.44
BATCH_0324,1421.7,190.8,1081.7,1015.5,12.77
BATCH_0325,1404.4,177.9,1102.8,900.9,12.84
BATCH_0326,1380.0,181.3,1111.7,891.3,11.62
BATCH_0327,1366.3,173.2,1057.7,955.3,13.19
BATCH_0328,1458.1,171.4,1102.2,958.2,11.77
BATCH_0329,1394.9,174.8,1115.8,897.4,11.84
BATCH_0330,1389.1,182.0,1080.9,867.2,13.01
BATCH_0331,1383.6,179.8,1149.1,946.8,12.44
BATCH_0332,1406.0,181.9,1096.8,893.6,13.98
BATCH_0333,1426.8,194.5,1063.8,885.0,11.82
BATCH_0334,1438.8,189.6,1015.3,960.3,11.65
BATCH_0335,1425.3,170.4,1201.8,934.3,12.08
BATCH_0336,1399.2,170.8,1048.0,948.0,14.67
BATCH_0337,1430.7,171.7,1069.2,931.4,12.69
BATCH_0338,1463.2,179.9,1080.6,972.2,11.76
BATCH_0339,1404.9,207.1,1115.0,896.9,13.96
BATCH_0340,1451.4,196.9,1074.4,947.3,14.59
BATCH_0341,1411.0,159.9,1162.9,933.5,10.6
BATCH_0342,1431.6,167.8,1081.7,940.2,13.28
BATCH_0343,1411.8,188.2,1111.4,854.0,13.36
BATCH_0344,1353.5,178.1,1030.8,956.1,13.68
BATCH_0345,1443.0,177.9,1175.6,874.7,11.65
BATCH_0346,1444.3,149.6,1055.7,906.7,13.55
BATCH_0347,1381.3,189.9,1139.9,927.0,10.6
BATCH_0348,1425.1,169.4,1184.6,925.8,8.44
BATCH_0349,1433.0,196.2,1088.9,922.7,13.23
BATCH_0350,1433.7,188.7,1099.2,966.3,13.1
BATCH_0351,1440.4,187.7,1035.3,928.8,13.25
BATCH_0352,1409.9,183.7,1086.5,858.3,14.89
BATCH_0353,1438.3,139.9,1124.6,880.2,11.83
BATCH_0354,1458.1,215.5,1028.1,911.0,8.93
BATCH_0355,1410.3,174.9,1066.4,925.4,12.03
BATCH_0356,1393.8,185.1,1072.7,992.7,10.6
BATCH_0357,1466.0,199.3,1107.2,916.6,12.74
BATCH_0358,1358.6,169.6,1123.7,891.9,12.14
BATCH_0359,1462.6,144.1,1097.7,904.3,13.53
BATCH_0360,1431.7,142.6,1075.0,967.9,11.29
BATCH_0361,1448.9,181.2,1094.0,956.8,11.43
BATCH_0362,1352.0,144.2,1117.3,939.7,15.6
BATCH_0363,1478.7,167.7,1136.5,868.0,12.18
BATCH_0364,1451.2,170.9,1090.0,976.0,14.81
BATCH_0365,1356.3,197.8,1184.6,827.0,11.8
BATCH_0366,1414.0,173.5,1122.1,890.0,10.77
BATCH_0367,1435.5,181.5,1060.4,1018.4,13.61
BATCH_0368,1487.7,183.9,1099.4,961.2,14.14
BATCH_0369,1418.3,183.2,1184.6,981.8,10.1
BATCH_0370,1453.1,180.8,1121.1,901.4,11.95
BATCH_0371,1447.9,208.6,1075.2,786.1,11.89
BATCH_0372,1450.8,187.2,1172.3,901.6,11.86
BATCH_0373,1391.1,161.2,1179.9,894.1,13.54
BATCH_0374,1418.0,192.4,1046.7,917.9,15.37
BATCH_0375,1434.4,159.3,1075.0,917.6,13.99
BATCH_0376,1444.8,191.7,1180.4,974.1,14.52
BATCH_0377,1423.8,173.5,1083.4,932.7,14.93
BATCH_0378,1436.1,157.2,1139.9,897.8,12.52
BATCH_0379,1437.0,204.1,1022.3,946.6,12.3
BATCH_0380,1392.7,170.2,1084.6,835.8,12.71
BATCH_0381,1376.0,193.2,1097.8,963.5,12.76
BATCH_0382,1403.3,179.3,1167.1,842.6,12.53
BATCH_0383,1362.2,176.4,1074.9,920.2,11.8
BATCH_0384,1429.5,179.1,1127.4,866.4,11.39
BATCH_0385,1393.5,173.3,1071.6,945.5,12.8
BATCH_0386,1482.1,157.8,1107.0,922.6,13.72
BATCH_0387,1363.2,155.1,1201.3,1002.4,10.82
BATCH_0388,1444.1,173.3,1057.3,894.3,13.55
BATCH_0389,1422.9,183.2,1131.7,924.0,15.66
BATCH_0390,1359.9,183.5,1145.2,911.0,14.65
BATCH_0391,1417.6,208.4,1098.9,954.5,10.42
BATCH_0392,1455.8,201.5,1047.5,881.1,11.82
BATCH_0393,1444.6,202.1,1081.8,968.6,12.6
BATCH_0394,1404.2,164.7,1058.9,868.5,11.15
BATCH_0395,1440.9,194.1,1083.2,980.9,11.32
BATCH_0396,1411.3,184.7,1084.2,932.6,13.16
BATCH_0397,1454.4,176.4,1133.6,851.4,13.45
BATCH_0398,1357.2,188.1,1083.7,873.2,12.8
BATCH_0399,1497.3,199.6,1128.3,915.0,11.41
BATCH_0400,1398.8,179.5,1041.0,873.9,15.67
BATCH_0401,1401.1,147.5,1135.2,933.9,11.96
BATCH_0402,1446.4,181.5,1066.6,830.3,12.81
BATCH_0403,1441.4,182.3,1072.7,928.8,13.97
BATCH_0404,1394.2,175.3,1130.5,918.4,13.69
BATCH_0405,1419.7,194.9,1082.0,967.7,12.29
BATCH_0406,1397.6,202.3,1063.3,864.0,9.27
BATCH_0407,1424.1,183.4,1087.5,866.5,12.24
BATCH_0408,1428.2,124.7,1059.6,904.3,14.76
BATCH_0409,1428.6,199.5,1057.0,884.5,13.57
BATCH_0410,1354.4,210.7,1050.1,877.6,14.16
BATCH_0411,1400.0,196.8,997.5,892.7,10.5
BATCH_0412,1402.5,188.1,1088.3,912.2,13.11
BATCH_0413,1419.3,165.3,1063.5,948.1,11.14
BATCH_0414,1477.3,158.5,1035.7,855.4,13.06
BATCH_0415,1407.9,175.8,1132.1,995.4,13.52
BATCH_0416,1471.4,179.5,1229.9,851.0,13.54
BATCH_0417,1497.6,180.9,1153.7,928.7,11.26
BATCH_0418,1392.1,182.9,1092.0,897.8,13.14
BATCH_0419,1430.3,171.9,1146.8,940.3,10.98
BATCH_0420,1475.8,202.0,1055.4,922.8,11.52
BATCH_0421,1396.0,172.3,1163.7,888.3,13.65
BATCH_0422,1465.0,179.1,1107.1,939.0,14.26
BATCH_0423,1415.4,188.6,1071.8,869.5,11.0
BATCH_0424,1395.9,187.0,1165.5,966.8,10.62
BATCH_0425,1325.5,162.3,1107.5,981.3,10.81
BATCH_0426,1467.3,211.5,1097.9,1006.4,12.64
BATCH_0427,1426.4,180.7,1163.2,879.6,11.41
BATCH_0428,1462.3,179.6,1181.9,956.3,11.44
BATCH_0429,1451.2,176.3,1059.9,882.1,10.34
BATCH_0430,1363.1,181.2,1079.3,980.1,14.62
BATCH_0431,1426.2,185.2,1064.1,945.3,12.69
BATCH_0432,1367.4,194.9,1055.9,923.6,14.25
BATCH_0433,1454.1,172.6,1117.7,851.0,12.31
BATCH_0434,1403.2,151.9,1042.1,840.8,12.44
BATCH_0435,1413.6,210.4,1078.8,914.7,12.2
BATCH_0436,1397.9,169.0,1027.7,901.4,14.13
BATCH_0437,1402.2,138.1,1101.9,951.5,16.52
BATCH_0438,1306.5,184.5,1099.9,925.6,12.58
BATCH_0439,1421.3,205.3,1102.0,1008.3,10.55
BATCH_0440,1472.0,149.3,1089.0,866.7,10.02
BATCH_0441,1440.5,186.5,1062.4,981.5,12.09
BATCH_0442,1459.3,183.4,1083.8,930.8,11.72
BATCH_0443,1423.8,161.1,1017.5,949.4,14.04
BATCH_0444,1450.9,195.4,1198.7,935.1,12.22
BATCH_0445,1386.2,179.2,1172.4,947.4,12.93
BATCH_0446,1422.0,178.1,1089.2,965.7,12.73
BATCH_0447,1422.6,181.5,1118.8,900.4,10.6
BATCH_0448,1450.7,185.3,1128.4,935.3,14.94
BATCH_0449,1512.9,197.8,1058.6,948.7,10.38
BATCH_0450,1467.3,144.5,1202.6,851.8,11.56
BATCH_0451,1412.9,152.7,1078.3,986.4,11.9
BATCH_0452,1392.5,185.0,1012.2,938.2,11.17
BATCH_0453,1364.4,199.4,1132.5,892.7,10.19
BATCH_0454,1434.6,165.2,1128.6,891.1,14.4
BATCH_0455,1398.8,170.5,1139.0,946.4,13.78
BATCH_0456,1455.4,173.3,1055.9,862.3,13.22
BATCH_0457,1365.6,182.1,1084.2,884.9,12.57
BATCH_0458,1463.1,187.9,1122.3,851.1,11.42
BATCH_0459,1436.6,176.2,1076.3,846.3,11.11
BATCH_0460,1406.6,168.6,1229.3,936.8,13.42
BATCH_0461,1361.0,193.7,1127.3,901.4,15.06
BATCH_0462,1476.6,168.4,1157.2,927.4,12.88
