Batch_ID,Clinker_CaO,Clinker_SiO2,Clinker_Al2O3,Clinker_Fe2O3,LSF,SM,AM,Free_CaO_pct,C3S_pct,C2S_pct,C3A_pct,C4AF_pct
BATCH_0055,64.7,20.64,5.18,3.56,0.9757,2.3606,1.4556,1.115,60.41,13.58,7.71,10.83
BATCH_0056,67.02,22.28,5.72,3.1,0.9404,2.5253,1.845,1.274,53.71,23.36,9.92,9.44
BATCH_0057,68.43,21.44,4.26,3.29,1.0172,2.8417,1.2942,1.504,73.96,5.66,5.71,10.01
BATCH_0058,66.21,19.94,5.35,3.06,1.0306,2.3691,1.7483,1.095,71.64,5.0,9.01,9.32
BATCH_0059,66.57,20.61,4.87,2.91,1.0173,2.649,1.6697,1.239,70.52,5.88,7.96,8.87
BATCH_0060,66.46,23.3,4.9,3.34,0.9068,2.8278,1.4662,0.925,50.03,29.06,7.33,10.17
BATCH_0061,67.56,20.91,5.06,3.66,1.0086,2.399,1.3834,1.335,69.59,7.44,7.22,11.13
BATCH_0062,65.99,19.51,4.69,2.86,1.0623,2.5823,1.6391,1.638,75.87,5.0,7.59,8.71
BATCH_0063,67.28,21.97,4.92,3.46,0.9655,2.6215,1.4219,0.667,64.8,14.11,7.19,10.53
BATCH_0064,67.5,20.27,4.71,3.37,1.045,2.5079,1.3954,1.094,77.89,5.0,6.77,10.27
BATCH_0065,68.82,21.19,4.85,3.5,1.0207,2.5373,1.3853,0.637,77.48,5.0,6.93,10.65
BATCH_0066,66.21,21.0,5.34,3.89,0.9776,2.2735,1.3725,1.364,61.81,13.57,7.57,11.84
BATCH_0067,65.6,21.03,4.57,3.24,0.9868,2.6937,1.4109,0.344,68.42,8.68,6.63,9.86
BATCH_0068,68.7,20.83,5.11,2.86,1.0358,2.6139,1.7889,1.188,76.69,5.0,8.71,8.7
BATCH_0069,66.91,21.69,4.41,2.95,0.9849,2.9473,1.4978,1.041,67.82,11.01,6.71,8.96
BATCH_0070,68.0,21.59,5.46,3.21,0.9841,2.4903,1.7022,1.08,65.11,12.78,9.04,9.76
BATCH_0071,66.29,21.96,3.8,3.29,0.9722,3.0994,1.156,0.422,69.68,10.39,4.51,10.0
BATCH_0072,65.78,22.48,4.96,3.11,0.9277,2.7845,1.5963,1.058,53.28,24.25,7.89,9.46
BATCH_0073,68.38,21.01,5.35,3.48,1.0128,2.381,1.5377,0.878,72.51,5.55,8.29,10.58
BATCH_0074,66.37,22.86,4.3,2.74,0.9354,3.2475,1.5689,1.025,57.81,21.94,6.76,8.34
BATCH_0075,64.45,21.17,4.94,3.74,0.953,2.4401,1.32,0.327,59.86,15.53,6.75,11.38
BATCH_0076,68.93,20.86,4.34,3.75,1.0435,2.5796,1.1555,0.918,82.17,5.0,5.14,11.42
BATCH_0077,66.98,20.96,4.63,2.83,1.0137,2.8105,1.6388,0.857,73.86,5.0,7.49,8.6
BATCH_0078,67.58,22.05,5.26,3.62,0.9598,2.4838,1.4558,0.753,62.73,15.9,7.83,11.0
BATCH_0079,67.83,22.36,4.7,3.42,0.9624,2.753,1.3724,0.3,66.72,13.78,6.66,10.42
BATCH_0080,64.89,21.67,4.83,3.33,0.9455,2.6533,1.4486,0.697,57.88,18.45,7.16,10.15
BATCH_0081,67.45,20.85,5.85,3.86,0.9933,2.1469,1.5171,1.183,64.3,11.26,8.98,11.74
BATCH_0082,66.72,21.24,5.65,3.44,0.9742,2.3344,1.6414,0.779,61.56,14.45,9.15,10.48
BATCH_0083,67.99,21.08,4.76,3.36,1.0159,2.5965,1.4169,0.82,74.09,5.0,6.93,10.22
BATCH_0084,67.16,21.31,4.58,3.01,1.0007,2.8079,1.5179,0.487,72.5,6.4,7.02,9.17
BATCH_0085,67.74,21.12,5.45,3.01,1.0017,2.497,1.8085,1.415,66.56,10.34,9.34,9.16
BATCH_0086,66.78,21.78,4.98,3.1,0.968,2.6926,1.6051,0.3,65.4,13.11,7.95,9.45
BATCH_0087,65.19,21.65,4.57,3.06,0.9573,2.8407,1.4952,1.127,59.77,16.99,6.94,9.3
BATCH_0088,66.71,22.57,5.04,2.82,0.9384,2.8712,1.7844,0.625,58.09,20.89,8.57,8.59
BATCH_0089,66.74,21.89,4.82,2.87,0.9681,2.847,1.6816,0.831,63.63,14.76,7.93,8.72
BATCH_0090,67.84,21.72,5.06,3.15,0.9844,2.6468,1.6056,1.165,66.29,12.25,8.07,9.58
BATCH_0091,66.63,21.15,4.68,2.64,1.0009,2.8867,1.7716,1.445,67.01,10.09,7.94,8.05
BATCH_0092,68.91,20.36,5.07,3.9,1.0502,2.2691,1.3015,1.234,79.67,5.0,6.85,11.86
BATCH_0093,67.09,22.39,5.07,3.23,0.9465,2.6962,1.5694,0.922,59.15,19.58,7.97,9.84
BATCH_0094,66.75,21.1,4.96,3.17,0.9951,2.5968,1.5663,0.919,68.76,8.61,7.78,9.63
BATCH_0095,68.7,24.18,4.17,3.08,0.9195,3.3365,1.3539,0.978,57.88,25.66,5.84,9.37
BATCH_0096,67.47,22.01,5.01,3.8,0.9623,2.5001,1.3174,0.594,64.03,14.81,6.84,11.56
BATCH_0097,67.46,20.54,5.11,4.04,1.0178,2.2459,1.2637,0.792,73.52,5.0,6.69,12.3
BATCH_0098,67.16,21.81,4.21,3.52,0.9818,2.8184,1.196,0.3,71.28,8.75,5.21,10.72
BATCH_0099,69.64,22.78,5.58,2.76,0.9634,2.7316,2.0265,0.51,64.69,16.52,10.14,8.39
BATCH_0100,66.79,23.3,4.45,3.58,0.9162,2.9001,1.2444,0.496,56.31,24.31,5.75,10.89
BATCH_0101,66.37,20.19,4.5,3.11,1.0379,2.6543,1.4452,1.468,74.44,5.0,6.65,9.46
BATCH_0102,66.76,21.09,4.69,3.18,1.0002,2.6818,1.4769,1.24,68.81,8.56,7.05,9.66
BATCH_0103,67.32,20.32,5.7,3.34,1.0213,2.2487,1.7078,1.154,69.52,5.82,9.46,10.16
BATCH_0104,68.3,23.15,4.38,3.4,0.9451,2.9769,1.2873,0.3,64.96,17.36,5.84,10.34
BATCH_0105,67.74,20.59,5.02,3.42,1.0278,2.437,1.4673,0.845,74.93,5.0,7.52,10.42
BATCH_0106,67.66,21.56,4.94,3.66,0.9852,2.507,1.3502,1.033,68.48,10.15,6.9,11.13
BATCH_0107,65.64,21.99,5.15,3.45,0.9376,2.5571,1.4955,0.691,56.2,20.66,7.83,10.49
BATCH_0108,63.57,21.34,4.9,2.97,0.941,2.7113,1.6526,1.017,53.15,21.07,7.97,9.03
BATCH_0109,65.5,21.61,4.94,3.55,0.9526,2.5442,1.3919,1.11,58.38,17.92,7.09,10.81
BATCH_0110,66.0,21.01,4.72,3.3,0.9904,2.6201,1.4282,0.849,66.86,9.8,6.91,10.05
BATCH_0111,67.36,22.48,4.9,3.52,0.9473,2.6688,1.3913,0.3,61.55,18.0,7.03,10.72
BATCH_0112,66.69,21.86,4.27,2.53,0.981,3.2128,1.6863,1.02,67.66,11.63,7.03,7.71
BATCH_0113,66.16,21.08,5.57,3.52,0.9731,2.3183,1.5837,0.3,64.3,11.92,8.81,10.71
BATCH_0114,70.14,22.06,4.94,3.16,1.0055,2.7226,1.5601,1.4,72.46,8.58,7.73,9.63
BATCH_0115,68.04,20.04,5.25,3.45,1.0522,2.3045,1.5215,1.32,77.73,5.0,8.07,10.5
BATCH_0116,65.89,20.92,5.51,3.4,0.9776,2.348,1.6208,0.621,62.97,12.48,8.85,10.35
BATCH_0117,64.75,21.02,4.92,3.4,0.9667,2.525,1.4486,0.929,61.07,14.19,7.3,10.35
BATCH_0118,64.23,21.65,5.86,2.81,0.9245,2.4983,2.0835,0.821,48.77,25.28,10.76,8.55
BATCH_0119,67.84,21.2,5.25,2.86,1.0046,2.6125,1.8355,0.86,70.86,7.33,9.08,8.71
BATCH_0120,64.88,22.51,4.68,3.53,0.9147,2.7423,1.3261,1.138,49.77,26.99,6.43,10.74
BATCH_0121,67.61,20.98,5.58,3.11,1.002,2.4149,1.7947,0.656,70.92,6.66,9.53,9.46
BATCH_0122,68.34,22.64,4.16,3.38,0.9682,3.0051,1.2322,0.371,70.11,12.02,5.31,10.27
BATCH_0123,67.81,21.82,4.72,2.89,0.9881,2.8669,1.6348,1.006,69.32,10.25,7.63,8.79
BATCH_0124,68.91,23.99,5.18,3.16,0.9134,2.8769,1.6391,1.2,51.86,29.66,8.38,9.62
BATCH_0125,68.34,21.63,3.88,3.26,1.015,3.0328,1.1907,1.269,76.43,5.0,4.76,9.91
BATCH_0126,64.57,22.63,4.78,3.02,0.9088,2.9011,1.5857,0.775,49.71,27.37,7.57,9.18
BATCH_0127,68.94,20.67,4.66,3.22,1.0517,2.6222,1.4468,0.64,82.87,5.0,6.9,9.8
BATCH_0128,64.83,20.25,5.06,3.2,0.9995,2.4522,1.5802,0.459,68.14,6.66,7.99,9.74
BATCH_0129,67.43,21.87,4.95,3.33,0.9725,2.6426,1.4856,0.646,66.24,12.73,7.47,10.13
BATCH_0130,67.03,21.47,4.27,3.43,0.9932,2.7863,1.2441,0.575,71.97,7.28,5.51,10.45
BATCH_0131,67.47,21.46,5.73,3.68,0.9726,2.2805,1.5566,0.994,62.38,14.48,8.96,11.2
BATCH_0132,68.44,22.3,4.62,3.28,0.976,2.8221,1.4097,1.109,67.17,13.26,6.7,9.98
BATCH_0133,67.61,21.53,4.73,2.7,0.9985,2.8971,1.7512,0.795,70.97,8.18,7.96,8.22
BATCH_0134,66.9,20.95,4.48,3.02,1.0138,2.793,1.4856,1.069,72.04,5.7,6.77,9.18
BATCH_0135,65.13,21.44,5.16,3.52,0.9504,2.4682,1.4653,1.035,56.38,18.95,7.72,10.72
BATCH_0136,66.37,21.01,6.06,3.37,0.9717,2.2266,1.7964,1.203,58.54,16.08,10.36,10.27
BATCH_0137,67.4,20.56,4.81,3.01,1.032,2.6282,1.5958,0.638,77.46,5.0,7.65,9.17
BATCH_0138,66.36,22.69,5.06,3.33,0.9248,2.7061,1.5206,0.3,55.51,23.17,7.77,10.12
BATCH_0139,68.23,21.18,4.94,3.1,1.0146,2.6353,1.597,0.967,72.83,5.78,7.86,9.42
BATCH_0140,66.79,21.68,4.55,3.23,0.9782,2.7866,1.4079,0.733,66.54,11.97,6.59,9.83
BATCH_0141,68.6,23.03,5.39,3.4,0.9377,2.62,1.5888,0.33,59.54,21.11,8.55,10.33
BATCH_0142,64.86,22.51,5.13,3.53,0.9073,2.5995,1.4541,0.808,48.01,28.32,7.63,10.74
BATCH_0143,68.64,22.32,4.56,3.74,0.975,2.6887,1.2213,1.002,67.97,12.72,5.77,11.37
BATCH_0144,67.19,21.69,4.43,3.14,0.9866,2.8643,1.4114,1.288,67.46,11.3,6.43,9.56
BATCH_0145,69.62,20.99,4.34,3.09,1.0549,2.8234,1.4044,1.432,82.63,5.0,6.28,9.41
BATCH_0146,69.44,21.31,5.41,3.66,1.013,2.3506,1.4793,1.107,73.07,5.98,8.15,11.13
BATCH_0147,66.56,24.6,4.51,3.2,0.8716,3.187,1.4081,0.684,44.32,37.08,6.54,9.75
BATCH_0148,68.68,20.9,5.44,3.1,1.0242,2.447,1.7574,0.928,73.84,5.0,9.18,9.42
BATCH_0149,65.56,21.28,4.75,3.64,0.9694,2.5387,1.3055,0.811,63.37,13.2,6.43,11.06
BATCH_0150,66.49,23.63,5.07,2.91,0.8966,2.9622,1.7402,0.503,49.82,30.18,8.5,8.86
BATCH_0151,68.29,21.4,4.39,3.08,1.0165,2.8654,1.4223,1.568,73.4,5.98,6.4,9.38
BATCH_0152,70.25,21.3,5.11,2.79,1.0393,2.6949,1.8304,0.674,81.76,5.0,8.82,8.5
BATCH_0153,66.86,20.52,5.13,3.39,1.0158,2.4107,1.5137,1.096,71.13,5.18,7.86,10.31
BATCH_0154,65.64,20.77,5.09,3.2,0.9896,2.5045,1.594,1.22,64.82,10.64,8.09,9.73
BATCH_0155,66.09,21.4,4.99,3.1,0.9729,2.6467,1.6104,0.926,62.99,13.84,7.98,9.43
BATCH_0156,67.38,22.93,4.84,3.44,0.9328,2.7707,1.409,1.032,56.12,23.4,7.01,10.45
BATCH_0157,68.39,22.2,4.58,2.99,0.9826,2.9325,1.5291,0.607,69.93,10.89,7.06,9.11
BATCH_0158,66.72,19.88,5.52,3.5,1.0334,2.2041,1.5792,1.451,70.08,5.0,8.72,10.64
BATCH_0159,66.51,22.72,4.87,2.65,0.9343,3.0192,1.839,1.012,56.4,22.59,8.43,8.07
BATCH_0160,66.45,21.37,4.41,3.98,0.9813,2.5455,1.1079,0.65,68.12,9.87,4.95,12.12
BATCH_0161,64.45,21.82,4.06,3.54,0.9442,2.8693,1.1451,0.914,58.57,18.36,4.76,10.79
BATCH_0162,67.04,22.69,4.13,3.17,0.9505,3.109,1.305,0.773,63.11,17.43,5.59,9.63
BATCH_0163,67.46,21.93,4.88,3.07,0.9743,2.7584,1.5882,0.71,65.68,13.31,7.73,9.35
BATCH_0164,66.76,20.88,4.87,3.06,1.007,2.6326,1.5907,0.672,71.38,6.01,7.72,9.32
BATCH_0165,66.46,22.32,4.8,3.58,0.9417,2.6638,1.3418,0.333,60.56,18.3,6.67,10.89
BATCH_0166,67.43,22.14,4.68,3.55,0.9644,2.6902,1.3156,0.779,64.29,14.99,6.38,10.82
BATCH_0167,64.97,20.92,4.38,3.32,0.9847,2.7172,1.3188,0.916,66.1,10.1,5.98,10.1
BATCH_0168,66.82,21.74,5.39,2.93,0.9651,2.6139,1.8386,0.426,63.06,14.75,9.32,8.92
BATCH_0169,67.06,20.41,4.89,3.01,1.0319,2.5817,1.6239,0.697,76.39,5.0,7.87,9.17
BATCH_0170,65.94,20.72,4.46,3.4,1.0053,2.6373,1.3127,1.221,69.05,7.32,6.07,10.34
BATCH_0171,66.81,21.32,5.27,3.62,0.9772,2.3974,1.4556,0.3,66.27,11.12,7.84,11.02
BATCH_0172,64.68,20.46,4.53,3.46,0.9954,2.5589,1.3099,0.828,67.1,8.03,6.16,10.53
BATCH_0173,66.11,22.14,5.48,3.37,0.9342,2.5015,1.6267,0.773,55.21,21.83,8.82,10.25
BATCH_0174,67.58,22.38,4.99,4.17,0.9469,2.4437,1.1983,0.643,60.65,18.42,6.18,12.68
BATCH_0175,67.46,20.21,5.49,3.77,1.028,2.1823,1.4564,1.607,71.01,5.0,8.17,11.47
BATCH_0176,67.83,22.15,4.61,3.3,0.9731,2.7999,1.3967,1.261,64.76,14.66,6.63,10.05
BATCH_0177,68.45,22.39,4.58,3.12,0.9749,2.9072,1.4664,0.736,68.38,12.61,6.85,9.5
BATCH_0178,66.28,20.29,5.43,3.94,1.0059,2.1655,1.3793,1.206,67.22,7.46,7.73,11.98
BATCH_0179,65.98,23.31,5.22,2.96,0.8982,2.8511,1.7639,0.746,46.99,31.38,8.82,9.0
BATCH_0180,67.13,21.55,5.07,2.63,0.9849,2.7973,1.9254,1.061,65.94,12.06,8.98,8.02
BATCH_0181,64.67,22.85,4.59,3.15,0.9039,2.952,1.4549,1.156,47.94,29.35,6.82,9.6
BATCH_0182,65.61,20.91,4.99,3.27,0.984,2.5307,1.5242,1.122,64.2,11.53,7.68,9.96
BATCH_0183,69.27,21.43,4.71,3.54,1.0192,2.5983,1.3324,1.562,74.75,5.06,6.5,10.76
BATCH_0184,67.71,22.46,5.19,3.68,0.947,2.5329,1.4097,0.3,61.92,17.68,7.52,11.2
BATCH_0185,64.44,20.93,4.66,3.05,0.9739,2.7157,1.5298,0.398,64.32,11.48,7.19,9.27
BATCH_0186,67.34,20.19,4.78,3.3,1.0456,2.4982,1.4468,0.786,79.02,5.0,7.07,10.05
BATCH_0187,66.96,21.81,4.52,3.6,0.9727,2.6855,1.2572,0.546,67.55,11.57,5.9,10.95
BATCH_0188,68.69,21.21,5.61,3.03,1.0087,2.4549,1.8529,0.741,72.37,6.23,9.75,9.22
BATCH_0189,63.65,21.02,5.52,2.73,0.9463,2.5465,2.0204,0.3,55.22,18.61,10.01,8.32
BATCH_0190,65.65,21.44,4.73,2.78,0.9726,2.8545,1.702,0.997,61.65,14.94,7.83,8.46
BATCH_0191,67.65,21.37,5.49,3.35,0.9862,2.4175,1.6416,0.774,66.61,11.0,8.89,10.18
BATCH_0192,66.23,19.94,4.58,2.93,1.0475,2.6538,1.5609,1.253,76.46,5.0,7.17,8.93
BATCH_0193,66.23,22.22,4.39,3.45,0.9501,2.8346,1.2702,0.683,61.52,17.28,5.78,10.51
BATCH_0194,65.53,21.88,4.07,3.29,0.9596,2.971,1.2357,1.049,62.81,15.34,5.21,10.02
BATCH_0195,65.8,20.61,5.02,3.07,1.0011,2.5461,1.6339,0.615,69.02,7.02,8.11,9.35
BATCH_0196,66.5,20.72,5.14,3.35,1.0018,2.441,1.5316,1.107,68.17,7.99,7.94,10.21
BATCH_0197,66.44,22.36,5.11,3.15,0.9386,2.7049,1.6239,1.074,55.47,22.25,8.23,9.58
BATCH_0198,66.97,21.96,5.46,3.22,0.9547,2.5291,1.693,0.974,58.01,19.21,9.01,9.81
BATCH_0199,66.87,22.33,4.42,3.26,0.9561,2.9069,1.3581,1.348,61.16,17.88,6.21,9.91
BATCH_0200,67.71,21.16,4.72,3.19,1.0106,2.6754,1.4809,1.027,73.16,5.49,7.12,9.7
BATCH_0201,65.88,20.68,4.63,3.54,1.002,2.5302,1.3059,0.727,70.47,6.12,6.27,10.78
BATCH_0202,69.06,21.14,4.64,3.05,1.0346,2.7479,1.5222,1.156,78.2,5.0,7.14,9.28
BATCH_0203,66.87,20.72,4.53,3.24,1.02,2.6636,1.3975,0.335,76.47,5.0,6.53,9.87
BATCH_0204,67.9,22.15,4.5,3.39,0.9752,2.809,1.3287,0.604,68.72,11.67,6.19,10.3
BATCH_0205,66.71,21.17,5.11,3.54,0.9852,2.448,1.4451,1.481,63.97,12.44,7.56,10.76
BATCH_0206,68.92,21.09,4.92,2.83,1.0316,2.7217,1.7399,0.496,79.13,5.0,8.26,8.61
BATCH_0207,66.86,20.95,5.21,2.97,1.0001,2.5615,1.7533,1.01,67.78,8.94,8.78,9.04
BATCH_0208,65.61,21.47,5.16,3.35,0.9582,2.5218,1.5411,1.017,58.96,17.06,8.01,10.19
BATCH_0209,67.82,22.13,5.38,3.48,0.9596,2.4989,1.5445,0.828,61.18,17.29,8.36,10.59
BATCH_0210,65.39,21.48,4.96,3.45,0.957,2.5532,1.4363,0.336,61.61,15.09,7.3,10.51
BATCH_0211,64.85,22.36,4.73,3.34,0.9204,2.7707,1.4157,1.338,50.52,25.99,6.88,10.17
BATCH_0212,70.48,22.07,4.72,3.09,1.0146,2.8265,1.5299,0.873,77.83,5.0,7.29,9.39
BATCH_0213,68.3,19.8,4.95,3.26,1.0758,2.4126,1.5169,0.953,83.91,5.0,7.59,9.92
BATCH_0214,64.94,21.06,4.06,3.51,0.9821,2.7827,1.1587,1.135,65.59,10.9,4.83,10.67
BATCH_0215,65.12,20.56,5.62,3.22,0.9808,2.3249,1.7441,0.481,63.1,11.33,9.44,9.81
BATCH_0216,68.36,21.87,5.3,2.78,0.985,2.7071,1.9038,1.071,67.65,11.67,9.33,8.47
BATCH_0217,65.79,21.47,5.61,2.75,0.9586,2.5668,2.0362,1.014,57.38,18.25,10.2,8.38
BATCH_0218,66.62,21.47,4.37,3.55,0.9845,2.7121,1.2304,0.819,68.84,9.63,5.57,10.8
BATCH_0219,65.92,20.62,4.93,3.23,1.0026,2.529,1.5257,1.16,67.84,7.94,7.59,9.82
BATCH_0220,68.72,21.13,4.97,3.32,1.0215,2.5491,1.4946,0.998,75.58,5.0,7.54,10.11
BATCH_0221,65.69,22.06,4.89,3.15,0.943,2.7444,1.5504,1.073,56.4,20.69,7.61,9.59
BATCH_0222,66.63,21.62,5.35,3.24,0.9646,2.5148,1.6505,0.798,60.58,16.29,8.7,9.87
BATCH_0223,66.46,21.64,5.05,3.64,0.963,2.4898,1.3887,0.383,63.6,14.05,7.23,11.07
BATCH_0224,66.64,21.58,5.78,3.13,0.9605,2.4213,1.8431,1.05,58.21,17.94,10.0,9.54
BATCH_0225,68.17,21.14,4.82,3.48,1.0139,2.5484,1.3833,0.931,73.89,5.0,6.87,10.59
BATCH_0226,65.8,20.35,4.84,3.09,1.0153,2.5656,1.5675,0.803,72.01,5.0,7.61,9.4
BATCH_0227,67.28,23.22,5.57,3.07,0.9128,2.6886,1.8129,0.86,50.82,28.24,9.56,9.34
BATCH_0228,66.2,23.09,5.11,3.19,0.9087,2.7808,1.603,0.626,50.74,27.91,8.15,9.71
BATCH_0229,65.29,21.15,5.95,3.39,0.9523,2.2632,1.7571,0.698,55.99,18.39,10.05,10.31
BATCH_0230,66.33,21.73,4.78,3.34,0.9649,2.6774,1.4331,0.544,63.75,14.21,7.02,10.15
BATCH_0231,66.58,20.37,5.13,3.26,1.0195,2.4291,1.5758,0.668,73.02,5.0,8.09,9.91
BATCH_0232,65.75,22.1,5.72,3.11,0.9291,2.5029,1.8369,0.468,53.69,22.85,9.88,9.47
BATCH_0233,64.27,21.33,4.97,2.84,0.9516,2.7302,1.7504,1.137,56.04,18.88,8.37,8.64
BATCH_0234,66.16,21.4,4.64,3.32,0.978,2.6871,1.398,1.113,64.71,12.53,6.68,10.11
BATCH_0235,65.62,20.57,5.17,3.17,0.9962,2.4674,1.6293,1.097,65.16,9.83,8.33,9.65
